microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",7,7,100,59,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",82,82,100,94,100,"23 Jan 2018"
"acinetobacter sp.","aztreonam",42,42,100,90,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",42,6,14,6,28,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",42,17,40,27,56,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",110,8,7,4,14,"23 Jan 2018"
"acinetobacter sp.","colistin",46,1,2,0,13,"23 Jan 2018"
"acinetobacter sp.","ertapenem",10,10,100,67,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",4,4,100,45,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",111,11,10,6,17,"23 Jan 2018"
"acinetobacter sp.","imipenem",110,5,5,2,11,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",75,2,3,0,10,"23 Jan 2018"
"acinetobacter sp.","meropenem",106,7,7,3,13,"23 Jan 2018"
"acinetobacter sp.","minocycline",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",46,46,100,91,100,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",41,24,59,43,72,"23 Jan 2018"
"acinetobacter sp.","tobramycin",103,6,6,2,12,"23 Jan 2018"
"citrobacter sp.","amoxicillin",103,103,100,96,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",256,121,47,41,53,"23 Jan 2018"
"citrobacter sp.","aztreonam",140,24,17,12,24,"23 Jan 2018"
"citrobacter sp.","cefepime",256,9,4,2,7,"23 Jan 2018"
"citrobacter sp.","ceftazidime",256,38,15,11,20,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",256,16,6,4,10,"23 Jan 2018"
"citrobacter sp.","ertapenem",253,1,0,0,2,"23 Jan 2018"
"citrobacter sp.","fosfomycin",220,1,0,0,3,"23 Jan 2018"
"citrobacter sp.","gentamicin",255,1,0,0,2,"23 Jan 2018"
"citrobacter sp.","imipenem",255,2,1,0,3,"23 Jan 2018"
"citrobacter sp.","levofloxacin",141,10,7,4,13,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",145,83,57,49,65,"23 Jan 2018"
"citrobacter sp.","norfloxacin",221,17,8,5,12,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",256,43,17,13,22,"23 Jan 2018"
"citrobacter sp.","tigecycline",140,10,7,4,13,"23 Jan 2018"
"citrobacter sp.","tobramycin",143,4,3,1,7,"23 Jan 2018"
"enterobacter sp.","amoxicillin",152,152,100,97,100,"23 Jan 2018"
