microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",19,19,100,80,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",93,93,100,95,100,"23 Jan 2018"
"acinetobacter sp.","azithromycin",25,21,84,65,94,"23 Jan 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",147,13,9,5,15,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",147,42,29,22,36,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",211,7,3,2,7,"23 Jan 2018"
"acinetobacter sp.","ertapenem",5,5,100,51,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",9,9,100,65,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",200,6,3,1,7,"23 Jan 2018"
"acinetobacter sp.","imipenem",200,3,2,0,5,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",180,4,2,1,6,"23 Jan 2018"
"acinetobacter sp.","meropenem",131,6,5,2,10,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",9,9,100,65,100,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",142,52,37,29,45,"23 Jan 2018"
"acinetobacter sp.","rifampicin",25,4,16,6,35,"23 Jan 2018"
"acinetobacter sp.","tobramycin",196,9,5,2,9,"23 Jan 2018"
"burkholderia sp.","cefepime",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","ciprofloxacin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","gentamicin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","piperacillin/tazobactam",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","tobramycin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin",497,497,100,99,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",746,317,42,39,46,"23 Jan 2018"
"citrobacter sp.","cefepime",746,8,1,1,2,"23 Jan 2018"
"citrobacter sp.","ceftazidime",746,51,7,5,9,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",741,22,3,2,4,"23 Jan 2018"
"citrobacter sp.","fosfomycin",605,5,1,0,2,"23 Jan 2018"
"citrobacter sp.","gentamicin",681,11,2,1,3,"23 Jan 2018"
"citrobacter sp.","imipenem",692,2,0,0,1,"23 Jan 2018"
"citrobacter sp.","levofloxacin",52,1,2,0,11,"23 Jan 2018"
"citrobacter sp.","moxifloxacin",21,1,5,0,25,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",603,252,42,38,46,"23 Jan 2018"
"citrobacter sp.","norfloxacin",656,32,5,3,7,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",743,77,10,8,13,"23 Jan 2018"
"enterobacter sp.","amoxicillin",865,864,100,99,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",1183,1180,100,99,100,"23 Jan 2018"
"enterobacter sp.","cefepime",1184,85,7,6,9,"23 Jan 2018"
"enterobacter sp.","ceftazidime",1184,273,23,21,26,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",1183,54,5,4,6,"23 Jan 2018"
"enterobacter sp.","ertapenem",1125,102,9,8,11,"23 Jan 2018"
"enterobacter sp.","fosfomycin",941,366,39,36,42,"23 Jan 2018"
