microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",3,2,67,20,94,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",42,36,86,72,94,"23 Jan 2018"
"acinetobacter sp.","azithromycin",7,7,100,59,100,"23 Jan 2018"
"acinetobacter sp.","aztreonam",3,3,100,38,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",49,5,10,4,22,"23 Jan 2018"
"acinetobacter sp.","cefotaxime",2,2,100,29,100,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",49,19,39,26,53,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",88,12,14,8,23,"23 Jan 2018"
"acinetobacter sp.","colistin",17,1,6,0,29,"23 Jan 2018"
"acinetobacter sp.","doxycycline",3,1,33,6,80,"23 Jan 2018"
"acinetobacter sp.","ertapenem",4,4,100,45,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",16,14,88,62,98,"23 Jan 2018"
"acinetobacter sp.","gentamicin",86,12,14,8,23,"23 Jan 2018"
"acinetobacter sp.","imipenem",89,13,15,9,24,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",77,10,13,7,23,"23 Jan 2018"
"acinetobacter sp.","meropenem",62,13,21,13,33,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",21,20,95,75,100,"23 Jan 2018"
"acinetobacter sp.","norfloxacin",14,3,21,7,48,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",47,19,40,28,55,"23 Jan 2018"
"acinetobacter sp.","rifampicin",7,1,14,1,54,"23 Jan 2018"
"acinetobacter sp.","tobramycin",62,8,13,7,24,"23 Jan 2018"
"burkholderia sp.","amoxicillin/clavulanate",2,1,50,10,90,"23 Jan 2018"
"burkholderia sp.","cefotaxime",2,1,50,10,90,"23 Jan 2018"
"burkholderia sp.","ciprofloxacin",3,1,33,6,80,"23 Jan 2018"
"burkholderia sp.","fosfomycin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","gentamicin",2,1,50,10,90,"23 Jan 2018"
"burkholderia sp.","imipenem",2,1,50,10,90,"23 Jan 2018"
"burkholderia sp.","nitrofurantoin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","tobramycin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin",169,169,100,97,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",270,86,32,27,38,"23 Jan 2018"
"citrobacter sp.","cefepime",362,16,4,3,7,"23 Jan 2018"
"citrobacter sp.","cefotaxime",118,15,13,8,20,"23 Jan 2018"
"citrobacter sp.","ceftazidime",293,36,12,9,17,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",361,9,2,1,5,"23 Jan 2018"
"citrobacter sp.","doxycycline",121,10,8,4,15,"23 Jan 2018"
"citrobacter sp.","fosfomycin",236,1,0,0,3,"23 Jan 2018"
"citrobacter sp.","gentamicin",355,8,2,1,4,"23 Jan 2018"
"citrobacter sp.","imipenem",352,6,2,1,4,"23 Jan 2018"
"citrobacter sp.","levofloxacin",298,8,3,1,5,"23 Jan 2018"
"citrobacter sp.","meropenem",200,3,2,0,5,"23 Jan 2018"
"citrobacter sp.","minocycline",2,1,50,10,90,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",161,5,3,1,7,"23 Jan 2018"
"citrobacter sp.","norfloxacin",296,16,5,3,9,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",356,37,10,8,14,"23 Jan 2018"
"citrobacter sp.","tigecycline",5,1,20,3,64,"23 Jan 2018"
"citrobacter sp.","tobramycin",31,2,6,1,22,"23 Jan 2018"
"enterobacter sp.","amoxicillin",205,204,100,97,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",210,209,100,97,100,"23 Jan 2018"
"enterobacter sp.","cefepime",478,37,8,6,11,"23 Jan 2018"
"enterobacter sp.","cefotaxime",146,26,18,12,25,"23 Jan 2018"
"enterobacter sp.","ceftazidime",254,85,33,28,39,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",485,13,3,2,5,"23 Jan 2018"
"enterobacter sp.","doxycycline",145,33,23,17,30,"23 Jan 2018"
