microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",29,29,100,86,100,"23 Jan 2018"
"acinetobacter sp.","azithromycin",2,2,100,29,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",117,15,13,8,20,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",114,20,18,12,26,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",117,12,10,6,17,"23 Jan 2018"
"acinetobacter sp.","colistin",12,2,17,4,46,"23 Jan 2018"
"acinetobacter sp.","ertapenem",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",5,5,100,51,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",116,11,9,5,16,"23 Jan 2018"
"acinetobacter sp.","imipenem",116,10,9,5,15,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",31,1,3,0,18,"23 Jan 2018"
"acinetobacter sp.","meropenem",116,15,13,8,20,"23 Jan 2018"
"acinetobacter sp.","minocycline",10,4,40,17,69,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",111,27,24,17,33,"23 Jan 2018"
"acinetobacter sp.","tigecycline",10,6,60,31,83,"23 Jan 2018"
"citrobacter sp.","amoxicillin",237,237,100,98,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",238,92,39,33,45,"23 Jan 2018"
"citrobacter sp.","aztreonam",101,19,19,12,28,"23 Jan 2018"
"citrobacter sp.","cefepime",238,8,3,2,7,"23 Jan 2018"
"citrobacter sp.","ceftazidime",238,23,10,6,14,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",238,10,4,2,8,"23 Jan 2018"
"citrobacter sp.","ertapenem",236,2,1,0,3,"23 Jan 2018"
"citrobacter sp.","gentamicin",237,2,1,0,3,"23 Jan 2018"
"citrobacter sp.","imipenem",228,2,1,0,3,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",215,17,8,5,12,"23 Jan 2018"
"citrobacter sp.","norfloxacin",215,16,7,5,12,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",238,19,8,5,12,"23 Jan 2018"
"enterobacter sp.","amoxicillin",523,523,100,99,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",524,523,100,99,100,"23 Jan 2018"
"enterobacter sp.","aztreonam",317,133,42,37,47,"23 Jan 2018"
"enterobacter sp.","cefepime",523,70,13,11,17,"23 Jan 2018"
"enterobacter sp.","ceftazidime",523,135,26,22,30,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",524,49,9,7,12,"23 Jan 2018"
"enterobacter sp.","ertapenem",519,55,11,8,14,"23 Jan 2018"
"enterobacter sp.","fosfomycin",496,268,54,50,58,"23 Jan 2018"
"enterobacter sp.","gentamicin",524,35,7,5,9,"23 Jan 2018"
"enterobacter sp.","imipenem",470,9,2,1,4,"23 Jan 2018"
"enterobacter sp.","meropenem",501,5,1,0,2,"23 Jan 2018"
"enterobacter sp.","nitrofurantoin",497,297,60,55,64,"23 Jan 2018"
"enterobacter sp.","norfloxacin",497,58,12,9,15,"23 Jan 2018"
"enterobacter sp.","piperacillin/tazobactam",454,94,21,17,25,"23 Jan 2018"
"enterobacter sp.","tigecycline",313,9,3,1,5,"23 Jan 2018"
"enterococcus faecalis","amoxicillin",523,15,3,2,5,"23 Jan 2018"
"enterococcus faecalis","azithromycin",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecalis","clarithromycin",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecalis","clindamycin",221,219,99,96,100,"23 Jan 2018"
"enterococcus faecalis","daptomycin",4,1,25,4,71,"23 Jan 2018"
"enterococcus faecalis","erythromycin",221,219,99,96,100,"23 Jan 2018"
"enterococcus faecalis","fosfomycin",262,3,1,0,4,"23 Jan 2018"
"enterococcus faecalis","gentamicin",520,517,99,98,100,"23 Jan 2018"
"enterococcus faecalis","imipenem",504,7,1,1,3,"23 Jan 2018"
"enterococcus faecalis","levofloxacin",228,32,14,10,19,"23 Jan 2018"
"enterococcus faecalis","linezolid",523,1,0,0,1,"23 Jan 2018"
"enterococcus faecalis","moxifloxacin",222,30,14,10,19,"23 Jan 2018"
"enterococcus faecalis","nitrofurantoin",519,5,1,0,2,"23 Jan 2018"
"enterococcus faecalis","penicillin g",220,10,5,2,8,"23 Jan 2018"
"enterococcus faecalis","rifampicin",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecalis","teicoplanin",522,1,0,0,1,"23 Jan 2018"
"enterococcus faecalis","tigecycline",522,2,0,0,2,"23 Jan 2018"
"enterococcus faecalis","vancomycin",522,1,0,0,1,"23 Jan 2018"
"enterococcus faecium","amoxicillin",211,182,86,81,90,"23 Jan 2018"
"enterococcus faecium","amoxicillin/clavulanate",8,4,50,22,78,"23 Jan 2018"
"enterococcus faecium","clindamycin",68,68,100,93,100,"23 Jan 2018"
"enterococcus faecium","daptomycin",24,3,13,4,32,"23 Jan 2018"
"enterococcus faecium","erythromycin",68,68,100,93,100,"23 Jan 2018"
"enterococcus faecium","gentamicin",207,204,99,96,100,"23 Jan 2018"
"enterococcus faecium","imipenem",204,186,91,86,94,"23 Jan 2018"
"enterococcus faecium","levofloxacin",76,68,89,80,95,"23 Jan 2018"
"enterococcus faecium","moxifloxacin",68,67,99,91,100,"23 Jan 2018"
"enterococcus faecium","nitrofurantoin",80,62,78,67,85,"23 Jan 2018"
"enterococcus faecium","penicillin g",68,64,94,85,98,"23 Jan 2018"
"enterococcus faecium","teicoplanin",214,5,2,1,6,"23 Jan 2018"
"enterococcus faecium","tigecycline",206,1,0,0,3,"23 Jan 2018"
"enterococcus faecium","vancomycin",213,13,6,4,10,"23 Jan 2018"
"escherichia coli","amoxicillin",5225,2956,57,55,58,"23 Jan 2018"
"escherichia coli","amoxicillin/clavulanate",5244,1832,35,34,36,"23 Jan 2018"
"escherichia coli","aztreonam",1586,895,56,54,59,"23 Jan 2018"
"escherichia coli","cefepime",5242,913,17,16,18,"23 Jan 2018"
"escherichia coli","ceftazidime",5244,979,19,18,20,"23 Jan 2018"
"escherichia coli","ciprofloxacin",5244,1320,25,24,26,"23 Jan 2018"
"escherichia coli","colistin",25,1,4,0,21,"23 Jan 2018"
"escherichia coli","doxycycline",1,1,100,17,100,"23 Jan 2018"
"escherichia coli","ertapenem",5232,27,1,0,1,"23 Jan 2018"
"escherichia coli","fosfomycin",5177,95,2,2,2,"23 Jan 2018"
"escherichia coli","gentamicin",5235,562,11,10,12,"23 Jan 2018"
"escherichia coli","imipenem",4972,9,0,0,0,"23 Jan 2018"
"escherichia coli","levofloxacin",15,3,20,7,46,"23 Jan 2018"
"escherichia coli","meropenem",4283,9,0,0,0,"23 Jan 2018"
