microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",6,6,100,55,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",132,126,95,90,98,"23 Jan 2018"
"acinetobacter sp.","azithromycin",16,16,100,77,100,"23 Jan 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","cefazolin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",235,49,21,16,27,"23 Jan 2018"
"acinetobacter sp.","cefotaxime",26,24,92,75,99,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",309,205,66,61,71,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",311,38,12,9,16,"23 Jan 2018"
"acinetobacter sp.","colistin",40,1,3,0,14,"23 Jan 2018"
"acinetobacter sp.","doxycycline",2,1,50,10,90,"23 Jan 2018"
"acinetobacter sp.","ertapenem",35,34,97,84,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",39,39,100,89,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",315,40,13,9,17,"23 Jan 2018"
"acinetobacter sp.","imipenem",266,34,13,9,17,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",267,34,13,9,17,"23 Jan 2018"
"acinetobacter sp.","meropenem",304,39,13,10,17,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",40,40,100,89,100,"23 Jan 2018"
"acinetobacter sp.","norfloxacin",50,15,30,19,44,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",237,67,28,23,34,"23 Jan 2018"
"acinetobacter sp.","rifampicin",14,1,7,0,34,"23 Jan 2018"
"acinetobacter sp.","teicoplanin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","tigecycline",2,2,100,29,100,"23 Jan 2018"
"acinetobacter sp.","tobramycin",237,26,11,8,16,"23 Jan 2018"
"burkholderia sp.","amoxicillin/clavulanate",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","ceftazidime",5,2,40,12,77,"23 Jan 2018"
"burkholderia sp.","ciprofloxacin",5,4,80,36,97,"23 Jan 2018"
"burkholderia sp.","colistin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","gentamicin",6,6,100,55,100,"23 Jan 2018"
"burkholderia sp.","imipenem",5,2,40,12,77,"23 Jan 2018"
"burkholderia sp.","levofloxacin",5,1,20,3,64,"23 Jan 2018"
"burkholderia sp.","meropenem",5,1,20,3,64,"23 Jan 2018"
"burkholderia sp.","minocycline",5,1,20,3,64,"23 Jan 2018"
"burkholderia sp.","piperacillin/tazobactam",5,3,60,23,88,"23 Jan 2018"
"burkholderia sp.","tobramycin",5,5,100,51,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin",266,266,100,98,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",826,393,48,44,51,"23 Jan 2018"
"citrobacter sp.","cefepime",798,30,4,3,5,"23 Jan 2018"
"citrobacter sp.","cefotaxime",177,26,15,10,21,"23 Jan 2018"
"citrobacter sp.","ceftazidime",483,52,11,8,14,"23 Jan 2018"
