microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",17,17,100,78,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",108,106,98,93,100,"23 Jan 2018"
"acinetobacter sp.","azithromycin",15,14,93,68,100,"23 Jan 2018"
"acinetobacter sp.","aztreonam",5,5,100,51,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",152,31,20,15,28,"23 Jan 2018"
"acinetobacter sp.","cefotaxime",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",151,68,45,37,53,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",162,25,15,11,22,"23 Jan 2018"
"acinetobacter sp.","ertapenem",7,7,100,59,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",13,13,100,73,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",133,23,17,12,25,"23 Jan 2018"
"acinetobacter sp.","imipenem",153,19,12,8,19,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",130,17,13,8,20,"23 Jan 2018"
"acinetobacter sp.","meropenem",147,23,16,11,22,"23 Jan 2018"
"acinetobacter sp.","minocycline",2,1,50,10,90,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",12,12,100,71,100,"23 Jan 2018"
"acinetobacter sp.","norfloxacin",3,1,33,6,80,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",148,67,45,37,53,"23 Jan 2018"
"acinetobacter sp.","rifampicin",17,5,29,13,53,"23 Jan 2018"
"acinetobacter sp.","tigecycline",2,2,100,29,100,"23 Jan 2018"
"acinetobacter sp.","tobramycin",130,20,15,10,23,"23 Jan 2018"
"acinetobacter sp.","vancomycin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin",388,388,100,99,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",608,275,45,41,49,"23 Jan 2018"
"citrobacter sp.","cefepime",609,7,1,1,2,"23 Jan 2018"
"citrobacter sp.","ceftazidime",607,45,7,6,10,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",607,9,1,1,3,"23 Jan 2018"
"citrobacter sp.","colistin",114,1,1,0,5,"23 Jan 2018"
"citrobacter sp.","ertapenem",601,2,0,0,1,"23 Jan 2018"
"citrobacter sp.","fosfomycin",476,3,1,0,2,"23 Jan 2018"
"citrobacter sp.","gentamicin",483,2,0,0,2,"23 Jan 2018"
"citrobacter sp.","imipenem",596,1,0,0,1,"23 Jan 2018"
"citrobacter sp.","levofloxacin",122,3,2,1,7,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",407,114,28,24,33,"23 Jan 2018"
"citrobacter sp.","norfloxacin",487,22,5,3,7,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",601,67,11,9,14,"23 Jan 2018"
"citrobacter sp.","tobramycin",117,5,4,2,10,"23 Jan 2018"
"enterobacter sp.","amoxicillin",493,493,100,99,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",807,805,100,99,100,"23 Jan 2018"
"enterobacter sp.","cefepime",806,49,6,5,8,"23 Jan 2018"
"enterobacter sp.","ceftazidime",806,176,22,19,25,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",807,43,5,4,7,"23 Jan 2018"
"enterobacter sp.","colistin",185,2,1,0,4,"23 Jan 2018"
"enterobacter sp.","doxycycline",3,1,33,6,80,"23 Jan 2018"
"enterobacter sp.","ertapenem",800,54,7,5,9,"23 Jan 2018"
"enterobacter sp.","fosfomycin",552,226,41,37,45,"23 Jan 2018"
"enterobacter sp.","gentamicin",611,2,0,0,1,"23 Jan 2018"
"enterobacter sp.","imipenem",803,5,1,0,2,"23 Jan 2018"
"enterobacter sp.","levofloxacin",203,13,6,4,11,"23 Jan 2018"
"enterobacter sp.","meropenem",475,3,1,0,2,"23 Jan 2018"
"enterobacter sp.","moxifloxacin",8,2,25,7,60,"23 Jan 2018"
"enterobacter sp.","nitrofurantoin",462,290,63,58,67,"23 Jan 2018"
"enterobacter sp.","norfloxacin",555,63,11,9,14,"23 Jan 2018"
"enterobacter sp.","piperacillin/tazobactam",796,181,23,20,26,"23 Jan 2018"
"enterobacter sp.","tobramycin",188,4,2,1,6,"23 Jan 2018"
"enterococcus faecalis","azithromycin",182,181,99,97,100,"23 Jan 2018"
"enterococcus faecalis","ciprofloxacin",22,3,14,4,34,"23 Jan 2018"
"enterococcus faecalis","clarithromycin",182,181,99,97,100,"23 Jan 2018"
"enterococcus faecalis","clindamycin",192,191,99,97,100,"23 Jan 2018"
"enterococcus faecalis","erythromycin",192,191,99,97,100,"23 Jan 2018"
"enterococcus faecalis","levofloxacin",406,29,7,5,10,"23 Jan 2018"
"enterococcus faecalis","linezolid",405,1,0,0,2,"23 Jan 2018"
"enterococcus faecalis","moxifloxacin",193,12,6,4,11,"23 Jan 2018"
"enterococcus faecalis","nitrofurantoin",266,2,1,0,3,"23 Jan 2018"
"enterococcus faecalis","penicillin g",192,1,1,0,3,"23 Jan 2018"
"enterococcus faecalis","teicoplanin",370,1,0,0,2,"23 Jan 2018"
"enterococcus faecium","amoxicillin",121,59,49,40,58,"23 Jan 2018"
"enterococcus faecium","amoxicillin/clavulanate",121,60,50,41,58,"23 Jan 2018"
"enterococcus faecium","azithromycin",31,30,97,82,100,"23 Jan 2018"
"enterococcus faecium","ciprofloxacin",4,3,75,29,96,"23 Jan 2018"
"enterococcus faecium","clarithromycin",31,30,97,82,100,"23 Jan 2018"
"enterococcus faecium","clindamycin",32,31,97,83,100,"23 Jan 2018"
"enterococcus faecium","erythromycin",32,31,97,83,100,"23 Jan 2018"
"enterococcus faecium","gentamicin",3,1,33,6,80,"23 Jan 2018"
"enterococcus faecium","imipenem",288,275,95,92,97,"23 Jan 2018"
"enterococcus faecium","levofloxacin",293,185,63,57,68,"23 Jan 2018"
