microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin/clavulanate",4,4,100,45,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",4,1,25,4,71,"23 Jan 2018"
"acinetobacter sp.","cefotaxime",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",4,2,50,15,85,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",57,4,7,2,17,"23 Jan 2018"
"acinetobacter sp.","gentamicin",57,5,9,3,19,"23 Jan 2018"
"acinetobacter sp.","imipenem",57,4,7,2,17,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",45,3,7,2,19,"23 Jan 2018"
"acinetobacter sp.","meropenem",57,4,7,2,17,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",4,3,75,29,96,"23 Jan 2018"
"acinetobacter sp.","tobramycin",56,4,7,2,18,"23 Jan 2018"
"citrobacter sp.","amoxicillin",28,28,100,85,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",191,75,39,33,46,"23 Jan 2018"
"citrobacter sp.","cefepime",92,1,1,0,7,"23 Jan 2018"
"citrobacter sp.","ceftazidime",192,20,10,7,16,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",192,7,4,2,8,"23 Jan 2018"
"citrobacter sp.","clindamycin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","ertapenem",160,2,1,0,5,"23 Jan 2018"
"citrobacter sp.","fosfomycin",95,2,2,0,8,"23 Jan 2018"
"citrobacter sp.","gentamicin",159,1,1,0,4,"23 Jan 2018"
"citrobacter sp.","imipenem",159,1,1,0,4,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",95,5,5,2,12,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",159,20,13,8,19,"23 Jan 2018"
"enterobacter sp.","amoxicillin",23,23,100,83,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",387,378,98,96,99,"23 Jan 2018"
"enterobacter sp.","cefepime",262,12,5,3,8,"23 Jan 2018"
"enterobacter sp.","cefotaxime",24,5,21,9,41,"23 Jan 2018"
"enterobacter sp.","ceftazidime",389,97,25,21,29,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",389,16,4,3,7,"23 Jan 2018"
"enterobacter sp.","clindamycin",1,1,100,17,100,"23 Jan 2018"
"enterobacter sp.","colistin",1,1,100,17,100,"23 Jan 2018"
"enterobacter sp.","ertapenem",365,23,6,4,9,"23 Jan 2018"
"enterobacter sp.","fosfomycin",133,45,34,26,42,"23 Jan 2018"
"enterobacter sp.","gentamicin",364,5,1,1,3,"23 Jan 2018"
"enterobacter sp.","imipenem",368,5,1,1,3,"23 Jan 2018"
"enterobacter sp.","levofloxacin",22,1,5,0,24,"23 Jan 2018"
"enterobacter sp.","meropenem",347,5,1,1,3,"23 Jan 2018"
"enterobacter sp.","nitrofurantoin",134,80,60,51,68,"23 Jan 2018"
"enterobacter sp.","norfloxacin",43,4,9,3,22,"23 Jan 2018"
"enterobacter sp.","piperacillin/tazobactam",365,90,25,21,29,"23 Jan 2018"
"enterococcus faecalis","amoxicillin/clavulanate",761,1,0,0,1,"23 Jan 2018"
"enterococcus faecalis","ertapenem",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecalis","imipenem",759,1,0,0,1,"23 Jan 2018"
"enterococcus faecalis","levofloxacin",481,44,9,7,12,"23 Jan 2018"
"enterococcus faecalis","linezolid",759,7,1,0,2,"23 Jan 2018"
"enterococcus faecalis","nitrofurantoin",480,3,1,0,2,"23 Jan 2018"
"enterococcus faecalis","vancomycin",760,2,0,0,1,"23 Jan 2018"
"enterococcus faecium","amoxicillin",8,7,88,51,100,"23 Jan 2018"
"enterococcus faecium","amoxicillin/clavulanate",224,190,85,79,89,"23 Jan 2018"
"enterococcus faecium","ciprofloxacin",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecium","imipenem",224,191,85,80,89,"23 Jan 2018"
"enterococcus faecium","levofloxacin",105,97,92,85,96,"23 Jan 2018"
"enterococcus faecium","linezolid",224,1,0,0,3,"23 Jan 2018"
"enterococcus faecium","meropenem",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecium","nitrofurantoin",95,33,35,26,45,"23 Jan 2018"
"enterococcus faecium","norfloxacin",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecium","piperacillin/tazobactam",1,1,100,17,100,"23 Jan 2018"
"enterococcus faecium","vancomycin",225,9,4,2,8,"23 Jan 2018"
"escherichia coli","amoxicillin",785,336,43,39,46,"23 Jan 2018"
"escherichia coli","amoxicillin/clavulanate",5043,719,14,13,15,"23 Jan 2018"
"escherichia coli","cefepime",1609,131,8,7,10,"23 Jan 2018"
"escherichia coli","cefotaxime",840,43,5,4,7,"23 Jan 2018"
"escherichia coli","ceftazidime",5042,342,7,6,8,"23 Jan 2018"
"escherichia coli","ciprofloxacin",5043,896,18,17,19,"23 Jan 2018"
"escherichia coli","ertapenem",4239,2,0,0,0,"23 Jan 2018"
"escherichia coli","fosfomycin",4274,52,1,1,2,"23 Jan 2018"
"escherichia coli","gentamicin",4195,218,5,5,6,"23 Jan 2018"
"escherichia coli","imipenem",4242,1,0,0,0,"23 Jan 2018"
"escherichia coli","levofloxacin",841,104,12,10,15,"23 Jan 2018"
"escherichia coli","meropenem",3541,1,0,0,0,"23 Jan 2018"
"escherichia coli","nitrofurantoin",4274,26,1,0,1,"23 Jan 2018"
"escherichia coli","norfloxacin",1621,303,19,17,21,"23 Jan 2018"
"escherichia coli","piperacillin/tazobactam",4239,201,5,4,5,"23 Jan 2018"
"haemophilus influenzae","amoxicillin",1,1,100,17,100,"23 Jan 2018"
"haemophilus influenzae","amoxicillin/clavulanate",207,44,21,16,27,"23 Jan 2018"
"haemophilus influenzae","azithromycin",13,13,100,73,100,"23 Jan 2018"
"haemophilus influenzae","cefepime",1,1,100,17,100,"23 Jan 2018"
"haemophilus influenzae","ciprofloxacin",2,1,50,10,90,"23 Jan 2018"
"haemophilus influenzae","erythromycin",14,14,100,74,100,"23 Jan 2018"
"haemophilus influenzae","levofloxacin",205,1,0,0,3,"23 Jan 2018"
"haemophilus influenzae","penicillin g",194,135,70,63,76,"23 Jan 2018"
"helicobacter pylori","clarithromycin",3,3,100,38,100,"23 Jan 2018"
