microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",14,14,100,74,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",28,28,100,85,100,"23 Jan 2018"
"acinetobacter sp.","azithromycin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",29,1,3,0,19,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",29,7,24,12,42,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",160,18,11,7,17,"23 Jan 2018"
"acinetobacter sp.","ertapenem",5,5,100,51,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",6,6,100,55,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",155,11,7,4,12,"23 Jan 2018"
"acinetobacter sp.","imipenem",155,11,7,4,12,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",155,18,12,7,18,"23 Jan 2018"
"acinetobacter sp.","meropenem",134,13,10,6,16,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",3,3,100,38,100,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",28,10,36,21,54,"23 Jan 2018"
"acinetobacter sp.","rifampicin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","tobramycin",152,7,5,2,9,"23 Jan 2018"
"burkholderia sp.","amoxicillin/clavulanate",3,3,100,38,100,"23 Jan 2018"
"burkholderia sp.","aztreonam",3,3,100,38,100,"23 Jan 2018"
"burkholderia sp.","cefepime",3,1,33,6,80,"23 Jan 2018"
"burkholderia sp.","ceftazidime",10,3,30,11,61,"23 Jan 2018"
"burkholderia sp.","ciprofloxacin",3,2,67,20,94,"23 Jan 2018"
"burkholderia sp.","colistin",2,2,100,29,100,"23 Jan 2018"
"burkholderia sp.","gentamicin",3,2,67,20,94,"23 Jan 2018"
"burkholderia sp.","imipenem",3,1,33,6,80,"23 Jan 2018"
"burkholderia sp.","levofloxacin",10,6,60,31,83,"23 Jan 2018"
"burkholderia sp.","meropenem",10,3,30,11,61,"23 Jan 2018"
"burkholderia sp.","minocycline",7,3,43,16,75,"23 Jan 2018"
"burkholderia sp.","tobramycin",3,2,67,20,94,"23 Jan 2018"
"citrobacter sp.","amoxicillin",532,532,100,99,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",582,270,46,42,50,"23 Jan 2018"
"citrobacter sp.","cefepime",559,1,0,0,1,"23 Jan 2018"
"citrobacter sp.","ceftazidime",581,55,9,7,12,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",564,21,4,2,6,"23 Jan 2018"
"citrobacter sp.","ertapenem",582,3,1,0,2,"23 Jan 2018"
"citrobacter sp.","fosfomycin",444,7,2,1,3,"23 Jan 2018"
"citrobacter sp.","gentamicin",508,6,1,0,3,"23 Jan 2018"
"citrobacter sp.","levofloxacin",364,8,2,1,4,"23 Jan 2018"
"citrobacter sp.","moxifloxacin",87,3,3,1,10,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",346,47,14,10,18,"23 Jan 2018"
"citrobacter sp.","norfloxacin",231,16,7,4,11,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",559,45,8,6,11,"23 Jan 2018"
"enterobacter sp.","amoxicillin",919,917,100,99,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",982,979,100,99,100,"23 Jan 2018"
"enterobacter sp.","cefepime",948,71,7,6,9,"23 Jan 2018"
"enterobacter sp.","ceftazidime",980,237,24,22,27,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",951,54,6,4,7,"23 Jan 2018"
"enterobacter sp.","colistin",5,1,20,3,64,"23 Jan 2018"
"enterobacter sp.","ertapenem",975,72,7,6,9,"23 Jan 2018"
"enterobacter sp.","fosfomycin",735,278,38,34,41,"23 Jan 2018"
"enterobacter sp.","gentamicin",873,21,2,2,4,"23 Jan 2018"
"enterobacter sp.","imipenem",963,8,1,0,2,"23 Jan 2018"
"enterobacter sp.","levofloxacin",704,36,5,4,7,"23 Jan 2018"
"enterobacter sp.","meropenem",641,5,1,0,2,"23 Jan 2018"
"enterobacter sp.","moxifloxacin",159,5,3,1,7,"23 Jan 2018"
"enterobacter sp.","nitrofurantoin",408,176,43,38,48,"23 Jan 2018"
"enterobacter sp.","norfloxacin",279,26,9,6,13,"23 Jan 2018"
"enterobacter sp.","piperacillin/tazobactam",938,215,23,20,26,"23 Jan 2018"
"enterobacter sp.","tigecycline",3,2,67,20,94,"23 Jan 2018"
"enterococcus faecalis","amoxicillin/clavulanate",1370,12,1,0,2,"23 Jan 2018"
"enterococcus faecalis","azithromycin",49,49,100,91,100,"23 Jan 2018"
"enterococcus faecalis","ciprofloxacin",206,13,6,4,11,"23 Jan 2018"
