microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"acinetobacter sp.","amoxicillin",67,66,99,91,100,"23 Jan 2018"
"acinetobacter sp.","amoxicillin/clavulanate",518,504,97,95,98,"23 Jan 2018"
"acinetobacter sp.","azithromycin",66,61,92,83,97,"23 Jan 2018"
"acinetobacter sp.","aztreonam",52,52,100,92,100,"23 Jan 2018"
"acinetobacter sp.","cefazolin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","cefepime",775,121,16,13,18,"23 Jan 2018"
"acinetobacter sp.","cefotaxime",30,28,93,77,99,"23 Jan 2018"
"acinetobacter sp.","ceftazidime",845,380,45,42,48,"23 Jan 2018"
"acinetobacter sp.","ciprofloxacin",1216,124,10,9,12,"23 Jan 2018"
"acinetobacter sp.","colistin",209,5,2,1,6,"23 Jan 2018"
"acinetobacter sp.","doxycycline",7,2,29,8,65,"23 Jan 2018"
"acinetobacter sp.","ertapenem",67,66,99,91,100,"23 Jan 2018"
"acinetobacter sp.","fosfomycin",92,90,98,92,100,"23 Jan 2018"
"acinetobacter sp.","gentamicin",1173,119,10,9,12,"23 Jan 2018"
"acinetobacter sp.","imipenem",1146,99,9,7,10,"23 Jan 2018"
"acinetobacter sp.","levofloxacin",960,89,9,8,11,"23 Jan 2018"
"acinetobacter sp.","meropenem",1057,120,11,10,13,"23 Jan 2018"
"acinetobacter sp.","minocycline",14,6,43,21,67,"23 Jan 2018"
"acinetobacter sp.","nitrofurantoin",131,130,99,95,100,"23 Jan 2018"
"acinetobacter sp.","norfloxacin",69,19,28,18,39,"23 Jan 2018"
"acinetobacter sp.","piperacillin/tazobactam",758,269,35,32,39,"23 Jan 2018"
"acinetobacter sp.","rifampicin",66,12,18,11,29,"23 Jan 2018"
"acinetobacter sp.","teicoplanin",1,1,100,17,100,"23 Jan 2018"
"acinetobacter sp.","tigecycline",14,10,71,45,88,"23 Jan 2018"
"acinetobacter sp.","tobramycin",965,80,8,7,10,"23 Jan 2018"
"acinetobacter sp.","vancomycin",1,1,100,17,100,"23 Jan 2018"
"bacteroides fragilis","",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","amoxicillin/clavulanate",6,5,83,42,98,"23 Jan 2018"
"burkholderia sp.","aztreonam",3,3,100,38,100,"23 Jan 2018"
"burkholderia sp.","cefepime",11,2,18,4,49,"23 Jan 2018"
"burkholderia sp.","cefotaxime",2,1,50,10,90,"23 Jan 2018"
"burkholderia sp.","ceftazidime",20,5,25,11,47,"23 Jan 2018"
"burkholderia sp.","ciprofloxacin",13,8,62,35,82,"23 Jan 2018"
"burkholderia sp.","colistin",3,3,100,38,100,"23 Jan 2018"
"burkholderia sp.","fosfomycin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","gentamicin",12,10,83,54,96,"23 Jan 2018"
"burkholderia sp.","imipenem",11,4,36,15,65,"23 Jan 2018"
"burkholderia sp.","levofloxacin",19,7,37,19,59,"23 Jan 2018"
"burkholderia sp.","meropenem",19,4,21,8,44,"23 Jan 2018"
"burkholderia sp.","minocycline",13,4,31,13,58,"23 Jan 2018"
"burkholderia sp.","nitrofurantoin",1,1,100,17,100,"23 Jan 2018"
"burkholderia sp.","piperacillin/tazobactam",13,4,31,13,58,"23 Jan 2018"
"burkholderia sp.","tobramycin",10,9,90,57,100,"23 Jan 2018"
"campylobacter sp.","",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin",2220,2220,100,100,100,"23 Jan 2018"
"citrobacter sp.","amoxicillin/clavulanate",3717,1629,44,42,45,"23 Jan 2018"
"citrobacter sp.","aztreonam",244,43,18,13,23,"23 Jan 2018"
"citrobacter sp.","cefepime",3660,80,2,2,3,"23 Jan 2018"
"citrobacter sp.","cefotaxime",327,41,13,9,17,"23 Jan 2018"
"citrobacter sp.","ceftazidime",3396,320,9,8,10,"23 Jan 2018"
"citrobacter sp.","ciprofloxacin",3783,123,3,3,4,"23 Jan 2018"
"citrobacter sp.","clindamycin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","colistin",266,1,0,0,2,"23 Jan 2018"
"citrobacter sp.","doxycycline",182,12,7,4,11,"23 Jan 2018"
"citrobacter sp.","ertapenem",3078,11,0,0,1,"23 Jan 2018"
"citrobacter sp.","fosfomycin",2652,22,1,1,1,"23 Jan 2018"
"citrobacter sp.","gentamicin",3499,50,1,1,2,"23 Jan 2018"
"citrobacter sp.","imipenem",3320,16,0,0,1,"23 Jan 2018"
"citrobacter sp.","levofloxacin",1515,55,4,3,5,"23 Jan 2018"
"citrobacter sp.","meropenem",2380,7,0,0,1,"23 Jan 2018"
"citrobacter sp.","minocycline",45,15,33,21,48,"23 Jan 2018"
"citrobacter sp.","moxifloxacin",116,4,3,1,9,"23 Jan 2018"
"citrobacter sp.","nitrofurantoin",2343,601,26,24,27,"23 Jan 2018"
"citrobacter sp.","norfloxacin",2911,149,5,4,6,"23 Jan 2018"
"citrobacter sp.","penicillin g",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","piperacillin/tazobactam",3648,394,11,10,12,"23 Jan 2018"
"citrobacter sp.","teicoplanin",1,1,100,17,100,"23 Jan 2018"
"citrobacter sp.","tigecycline",294,15,5,3,8,"23 Jan 2018"
"citrobacter sp.","tobramycin",669,27,4,3,6,"23 Jan 2018"
"enterobacter sp.","amoxicillin",3482,3478,100,100,100,"23 Jan 2018"
"enterobacter sp.","amoxicillin/clavulanate",5834,5809,100,99,100,"23 Jan 2018"
"enterobacter sp.","aztreonam",569,194,34,30,38,"23 Jan 2018"
"enterobacter sp.","cefazolin",2,2,100,29,100,"23 Jan 2018"
"enterobacter sp.","cefepime",5870,511,9,8,9,"23 Jan 2018"
"enterobacter sp.","cefotaxime",464,122,26,22,30,"23 Jan 2018"
"enterobacter sp.","ceftazidime",5289,1277,24,23,25,"23 Jan 2018"
"enterobacter sp.","ciprofloxacin",6084,322,5,5,6,"23 Jan 2018"
"enterobacter sp.","clindamycin",2,2,100,29,100,"23 Jan 2018"
"enterobacter sp.","colistin",474,5,1,0,3,"23 Jan 2018"
"enterobacter sp.","doxycycline",205,37,18,13,24,"23 Jan 2018"
"enterobacter sp.","ertapenem",4955,404,8,7,9,"23 Jan 2018"
"enterobacter sp.","fosfomycin",3984,1573,39,38,41,"23 Jan 2018"
"enterobacter sp.","gentamicin",5712,138,2,2,3,"23 Jan 2018"
"enterobacter sp.","imipenem",5274,64,1,1,2,"23 Jan 2018"
"enterobacter sp.","levofloxacin",2534,127,5,4,6,"23 Jan 2018"
"enterobacter sp.","meropenem",4250,48,1,1,1,"23 Jan 2018"
"enterobacter sp.","metronidazole",1,1,100,17,100,"23 Jan 2018"
"enterobacter sp.","minocycline",88,33,38,28,48,"23 Jan 2018"
"enterobacter sp.","moxifloxacin",204,9,4,2,8,"23 Jan 2018"
"enterobacter sp.","nitrofurantoin",3341,1962,59,57,60,"23 Jan 2018"
"enterobacter sp.","norfloxacin",4213,358,8,8,9,"23 Jan 2018"
"enterobacter sp.","piperacillin/tazobactam",5740,1336,23,22,24,"23 Jan 2018"
"enterobacter sp.","tigecycline",652,78,12,10,15,"23 Jan 2018"
"enterobacter sp.","tobramycin",1253,53,4,3,6,"23 Jan 2018"
"enterococcus faecalis","amoxicillin",3459,25,1,0,1,"23 Jan 2018"
"enterococcus faecalis","amoxicillin/clavulanate",4081,37,1,1,1,"23 Jan 2018"
"enterococcus faecalis","azithromycin",935,934,100,99,100,"23 Jan 2018"
"enterococcus faecalis","ciprofloxacin",1922,127,7,6,8,"23 Jan 2018"
"enterococcus faecalis","clarithromycin",937,936,100,99,100,"23 Jan 2018"
"enterococcus faecalis","clindamycin",2170,2163,100,99,100,"23 Jan 2018"
"enterococcus faecalis","daptomycin",36,1,3,0,16,"23 Jan 2018"
"enterococcus faecalis","doxycycline",874,671,77,74,79,"23 Jan 2018"
"enterococcus faecalis","ertapenem",2,2,100,29,100,"23 Jan 2018"
"enterococcus faecalis","erythromycin",2359,2352,100,99,100,"23 Jan 2018"
"enterococcus faecalis","fosfomycin",542,11,2,1,4,"23 Jan 2018"
"enterococcus faecalis","fusidic acid",185,184,99,97,100,"23 Jan 2018"
"enterococcus faecalis","gentamicin",730,708,97,95,98,"23 Jan 2018"
"enterococcus faecalis","imipenem",5202,23,0,0,1,"23 Jan 2018"
"enterococcus faecalis","levofloxacin",5396,346,6,6,7,"23 Jan 2018"
"enterococcus faecalis","linezolid",6126,19,0,0,0,"23 Jan 2018"
"enterococcus faecalis","meropenem",939,4,0,0,1,"23 Jan 2018"
