microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",9,3,33,12,65,"21 May 2018"
"achromobacter sp.","aztreonam",7,7,100,59,100,"21 May 2018"
"achromobacter sp.","cefepime",11,11,100,69,100,"21 May 2018"
"achromobacter sp.","ceftazidime",11,7,64,35,85,"21 May 2018"
"achromobacter sp.","ceftriaxone",8,8,100,62,100,"21 May 2018"
"achromobacter sp.","cefuroxime",8,8,100,62,100,"21 May 2018"
"achromobacter sp.","ciprofloxacin",13,13,100,73,100,"21 May 2018"
"achromobacter sp.","cotrimoxazole",9,3,33,12,65,"21 May 2018"
"achromobacter sp.","ertapenem",2,2,100,29,100,"21 May 2018"
"achromobacter sp.","flucloxacillin",2,2,100,29,100,"21 May 2018"
"achromobacter sp.","gentamicin",10,9,90,57,100,"21 May 2018"
"achromobacter sp.","levofloxacin",8,6,75,40,93,"21 May 2018"
"achromobacter sp.","meropenem",8,1,13,1,50,"21 May 2018"
"achromobacter sp.","nitrofurantoin",2,2,100,29,100,"21 May 2018"
"achromobacter sp.","piperacillin/tazobactam",11,1,9,0,40,"21 May 2018"
"achromobacter sp.","tobramycin",11,9,82,51,96,"21 May 2018"
"acinetobacter sp.","amoxicillin",7,7,100,59,100,"21 May 2018"
"acinetobacter sp.","amoxicillin/clavulanate",85,85,100,95,100,"21 May 2018"
"acinetobacter sp.","aztreonam",49,49,100,91,100,"21 May 2018"
"acinetobacter sp.","cefepime",43,4,9,3,22,"21 May 2018"
"acinetobacter sp.","ceftazidime",43,15,35,22,50,"21 May 2018"
"acinetobacter sp.","ceftriaxone",48,48,100,91,100,"21 May 2018"
"acinetobacter sp.","cefuroxime",85,85,100,95,100,"21 May 2018"
"acinetobacter sp.","ciprofloxacin",119,5,4,2,10,"21 May 2018"
"acinetobacter sp.","colistin",56,1,2,0,11,"21 May 2018"
"acinetobacter sp.","cotrimoxazole",119,6,5,2,11,"21 May 2018"
"acinetobacter sp.","ertapenem",11,11,100,69,100,"21 May 2018"
"acinetobacter sp.","flucloxacillin",49,49,100,91,100,"21 May 2018"
"acinetobacter sp.","fosfomycin",11,11,100,69,100,"21 May 2018"
"acinetobacter sp.","gentamicin",119,9,8,4,14,"21 May 2018"
"acinetobacter sp.","imipenem",119,2,2,0,6,"21 May 2018"
"acinetobacter sp.","levofloxacin",85,4,5,2,12,"21 May 2018"
"acinetobacter sp.","meropenem",115,5,4,2,10,"21 May 2018"
"acinetobacter sp.","nitrofurantoin",53,53,100,92,100,"21 May 2018"
"acinetobacter sp.","piperacillin/tazobactam",42,22,52,38,67,"21 May 2018"
"acinetobacter sp.","tobramycin",112,4,4,1,9,"21 May 2018"
"campylobacter coli","ciprofloxacin",7,6,86,46,99,"21 May 2018"
"campylobacter jejuni","ciprofloxacin",91,45,49,39,60,"21 May 2018"
"citrobacter koseri","amoxicillin",69,69,100,94,100,"21 May 2018"
"citrobacter koseri","amoxicillin/clavulanate",170,5,3,1,7,"21 May 2018"
"citrobacter koseri","aztreonam",93,1,1,0,7,"21 May 2018"
"citrobacter koseri","cefepime",170,2,1,0,5,"21 May 2018"
"citrobacter koseri","ceftazidime",170,4,2,1,6,"21 May 2018"
"citrobacter koseri","ceftriaxone",170,2,1,0,5,"21 May 2018"
"citrobacter koseri","cefuroxime",170,127,75,68,81,"21 May 2018"
"citrobacter koseri","ciprofloxacin",170,3,2,0,5,"21 May 2018"
"citrobacter koseri","ertapenem",170,1,1,0,4,"21 May 2018"
"citrobacter koseri","gentamicin",170,1,1,0,4,"21 May 2018"
"citrobacter koseri","imipenem",170,1,1,0,4,"21 May 2018"
"citrobacter koseri","nitrofurantoin",119,71,60,51,68,"21 May 2018"
"citrobacter koseri","norfloxacin",152,3,2,0,6,"21 May 2018"
"citrobacter koseri","piperacillin/tazobactam",170,13,8,4,13,"21 May 2018"
"citrobacter koseri","tigecycline",93,1,1,0,7,"21 May 2018"
"citrobacter sp. non-koseri","amoxicillin",48,48,100,91,100,"21 May 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",174,172,99,96,100,"21 May 2018"
"citrobacter sp. non-koseri","aztreonam",119,35,29,22,38,"21 May 2018"
"citrobacter sp. non-koseri","cefepime",174,11,6,3,11,"21 May 2018"
"citrobacter sp. non-koseri","ceftazidime",174,44,25,19,32,"21 May 2018"
