microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",6,2,33,10,70," 7 Jun 2018"
"achromobacter sp.","azithromycin",7,7,100,59,100," 7 Jun 2018"
"achromobacter sp.","aztreonam",3,3,100,38,100," 7 Jun 2018"
"achromobacter sp.","cefepime",25,21,84,65,94," 7 Jun 2018"
"achromobacter sp.","ceftazidime",25,13,52,34,70," 7 Jun 2018"
"achromobacter sp.","ceftriaxone",6,6,100,55,100," 7 Jun 2018"
"achromobacter sp.","cefuroxime",6,6,100,55,100," 7 Jun 2018"
"achromobacter sp.","ciprofloxacin",25,21,84,65,94," 7 Jun 2018"
"achromobacter sp.","colistin",8,1,13,1,50," 7 Jun 2018"
"achromobacter sp.","cotrimoxazole",15,3,20,7,46," 7 Jun 2018"
"achromobacter sp.","gentamicin",25,23,92,74,99," 7 Jun 2018"
"achromobacter sp.","imipenem",25,3,12,3,31," 7 Jun 2018"
"achromobacter sp.","levofloxacin",17,10,59,36,78," 7 Jun 2018"
"achromobacter sp.","meropenem",15,4,27,11,52," 7 Jun 2018"
"achromobacter sp.","norfloxacin",1,1,100,17,100," 7 Jun 2018"
"achromobacter sp.","tobramycin",25,23,92,74,99," 7 Jun 2018"
"acinetobacter sp.","amoxicillin",23,23,100,83,100," 7 Jun 2018"
"acinetobacter sp.","amoxicillin/clavulanate",83,83,100,95,100," 7 Jun 2018"
"acinetobacter sp.","azithromycin",28,23,82,64,92," 7 Jun 2018"
"acinetobacter sp.","aztreonam",2,2,100,29,100," 7 Jun 2018"
"acinetobacter sp.","cefazolin",1,1,100,17,100," 7 Jun 2018"
"acinetobacter sp.","cefepime",154,13,8,5,14," 7 Jun 2018"
"acinetobacter sp.","ceftazidime",153,43,28,22,36," 7 Jun 2018"
"acinetobacter sp.","ceftriaxone",13,13,100,73,100," 7 Jun 2018"
"acinetobacter sp.","cefuroxime",79,79,100,94,100," 7 Jun 2018"
"acinetobacter sp.","ciprofloxacin",205,10,5,3,9," 7 Jun 2018"
"acinetobacter sp.","cotrimoxazole",139,3,2,0,7," 7 Jun 2018"
"acinetobacter sp.","ertapenem",6,6,100,55,100," 7 Jun 2018"
"acinetobacter sp.","fosfomycin",10,10,100,67,100," 7 Jun 2018"
"acinetobacter sp.","gentamicin",200,7,4,2,7," 7 Jun 2018"
"acinetobacter sp.","imipenem",200,3,2,0,5," 7 Jun 2018"
"acinetobacter sp.","levofloxacin",183,7,4,2,8," 7 Jun 2018"
"acinetobacter sp.","meropenem",127,5,4,1,9," 7 Jun 2018"
"acinetobacter sp.","nitrofurantoin",9,9,100,65,100," 7 Jun 2018"
"acinetobacter sp.","piperacillin/tazobactam",148,46,31,24,39," 7 Jun 2018"
"acinetobacter sp.","rifampicin",27,3,11,3,29," 7 Jun 2018"
"acinetobacter sp.","tobramycin",187,9,5,2,9," 7 Jun 2018"
"burkholderia sp.","cefepime",1,1,100,17,100," 7 Jun 2018"
"burkholderia sp.","ciprofloxacin",1,1,100,17,100," 7 Jun 2018"
"burkholderia sp.","gentamicin",1,1,100,17,100," 7 Jun 2018"
"burkholderia sp.","piperacillin/tazobactam",1,1,100,17,100," 7 Jun 2018"
"burkholderia sp.","tobramycin",1,1,100,17,100," 7 Jun 2018"
"campylobacter coli","azithromycin",36,7,19,10,35," 7 Jun 2018"
"campylobacter coli","ciprofloxacin",54,40,74,61,84," 7 Jun 2018"
"campylobacter coli","clarithromycin",16,7,44,23,67," 7 Jun 2018"
