microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","azithromycin",3,3,100,38,100,"21 May 2018"
"achromobacter sp.","aztreonam",6,6,100,55,100,"21 May 2018"
"achromobacter sp.","cefepime",11,11,100,69,100,"21 May 2018"
"achromobacter sp.","cefotaxime",2,2,100,29,100,"21 May 2018"
"achromobacter sp.","ceftazidime",14,7,50,27,73,"21 May 2018"
"achromobacter sp.","ceftriaxone",5,5,100,51,100,"21 May 2018"
"achromobacter sp.","cefuroxime",2,2,100,29,100,"21 May 2018"
"achromobacter sp.","ciprofloxacin",14,14,100,74,100,"21 May 2018"
"achromobacter sp.","colistin",3,1,33,6,80,"21 May 2018"
"achromobacter sp.","cotrimoxazole",6,1,17,2,58,"21 May 2018"
"achromobacter sp.","doxycycline",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","ertapenem",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","flucloxacillin",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","fosfomycin",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","gentamicin",6,6,100,55,100,"21 May 2018"
"achromobacter sp.","imipenem",14,1,7,0,34,"21 May 2018"
"achromobacter sp.","levofloxacin",11,11,100,69,100,"21 May 2018"
"achromobacter sp.","meropenem",10,1,10,0,43,"21 May 2018"
"achromobacter sp.","nitrofurantoin",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","norfloxacin",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","piperacillin/tazobactam",16,1,6,0,31,"21 May 2018"
"achromobacter sp.","tobramycin",5,5,100,51,100,"21 May 2018"
"acinetobacter sp.","amoxicillin",4,3,75,29,96,"21 May 2018"
"acinetobacter sp.","amoxicillin/clavulanate",41,35,85,71,93,"21 May 2018"
"acinetobacter sp.","azithromycin",13,13,100,73,100,"21 May 2018"
"acinetobacter sp.","aztreonam",2,2,100,29,100,"21 May 2018"
"acinetobacter sp.","cefepime",56,8,14,7,26,"21 May 2018"
"acinetobacter sp.","cefotaxime",3,3,100,38,100,"21 May 2018"
"acinetobacter sp.","ceftazidime",56,23,41,29,54,"21 May 2018"
"acinetobacter sp.","ceftriaxone",10,9,90,57,100,"21 May 2018"
"acinetobacter sp.","cefuroxime",40,38,95,82,99,"21 May 2018"
"acinetobacter sp.","ciprofloxacin",91,16,18,11,27,"21 May 2018"
"acinetobacter sp.","colistin",23,1,4,0,23,"21 May 2018"
"acinetobacter sp.","cotrimoxazole",59,8,14,7,25,"21 May 2018"
"acinetobacter sp.","doxycycline",4,2,50,15,85,"21 May 2018"
"acinetobacter sp.","ertapenem",4,4,100,45,100,"21 May 2018"
"acinetobacter sp.","flucloxacillin",18,17,94,72,100,"21 May 2018"
"acinetobacter sp.","fosfomycin",20,18,90,68,98,"21 May 2018"
"acinetobacter sp.","gentamicin",87,14,16,10,25,"21 May 2018"
"acinetobacter sp.","imipenem",90,14,16,9,25,"21 May 2018"
"acinetobacter sp.","levofloxacin",80,14,18,11,27,"21 May 2018"
"acinetobacter sp.","meropenem",58,14,24,15,37,"21 May 2018"
"acinetobacter sp.","nitrofurantoin",23,22,96,77,100,"21 May 2018"
"acinetobacter sp.","norfloxacin",17,4,24,9,48,"21 May 2018"
"acinetobacter sp.","piperacillin/tazobactam",55,19,35,23,48,"21 May 2018"
"acinetobacter sp.","rifampicin",13,1,8,0,36,"21 May 2018"
"acinetobacter sp.","tobramycin",60,9,15,8,26,"21 May 2018"
"burkholderia sp.","azithromycin",1,1,100,17,100,"21 May 2018"
"burkholderia sp.","ciprofloxacin",2,2,100,29,100,"21 May 2018"
"burkholderia sp.","colistin",1,1,100,17,100,"21 May 2018"
"burkholderia sp.","imipenem",2,1,50,10,90,"21 May 2018"
"campylobacter coli","azithromycin",6,1,17,2,58,"21 May 2018"
"campylobacter coli","ciprofloxacin",8,5,63,30,86,"21 May 2018"
"campylobacter coli","clindamycin",1,1,100,17,100,"21 May 2018"
"campylobacter coli","erythromycin",2,1,50,10,90,"21 May 2018"
"campylobacter jejuni","amoxicillin",4,1,25,4,71,"21 May 2018"
"campylobacter jejuni","azithromycin",57,1,2,0,10,"21 May 2018"
"campylobacter jejuni","ciprofloxacin",64,38,59,47,71,"21 May 2018"
"campylobacter jejuni","doxycycline",7,5,71,35,92,"21 May 2018"
"citrobacter koseri","amoxicillin",93,93,100,95,100,"21 May 2018"
"citrobacter koseri","amoxicillin/clavulanate",172,4,2,1,6,"21 May 2018"
"citrobacter koseri","cefepime",173,3,2,0,5,"21 May 2018"
"citrobacter koseri","cefotaxime",64,1,2,0,9,"21 May 2018"
"citrobacter koseri","ceftazidime",172,4,2,1,6,"21 May 2018"
"citrobacter koseri","ceftriaxone",170,8,5,2,9,"21 May 2018"
"citrobacter koseri","cefuroxime",101,27,27,19,36,"21 May 2018"
"citrobacter koseri","ciprofloxacin",172,2,1,0,4,"21 May 2018"
"citrobacter koseri","cotrimoxazole",101,3,3,1,9,"21 May 2018"
"citrobacter koseri","doxycycline",67,3,4,1,13,"21 May 2018"
"citrobacter koseri","ertapenem",96,1,1,0,6,"21 May 2018"
"citrobacter koseri","flucloxacillin",74,4,5,2,14,"21 May 2018"
"citrobacter koseri","gentamicin",167,1,1,0,4,"21 May 2018"
"citrobacter koseri","imipenem",168,2,1,0,5,"21 May 2018"
"citrobacter koseri","nitrofurantoin",87,10,11,6,20,"21 May 2018"
"citrobacter koseri","norfloxacin",151,5,3,1,8,"21 May 2018"
"citrobacter koseri","piperacillin/tazobactam",170,7,4,2,8,"21 May 2018"
"citrobacter sp. non-koseri","amoxicillin",87,87,100,95,100,"21 May 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",95,91,96,89,99,"21 May 2018"
"citrobacter sp. non-koseri","cefepime",178,13,7,4,12,"21 May 2018"
"citrobacter sp. non-koseri","cefotaxime",60,15,25,16,37,"21 May 2018"
"citrobacter sp. non-koseri","ceftazidime",126,41,33,25,41,"21 May 2018"
"citrobacter sp. non-koseri","ceftriaxone",123,36,29,22,38,"21 May 2018"
"citrobacter sp. non-koseri","cefuroxime",95,34,36,27,46,"21 May 2018"
"citrobacter sp. non-koseri","ciprofloxacin",178,7,4,2,8,"21 May 2018"
"citrobacter sp. non-koseri","cotrimoxazole",94,4,4,1,11,"21 May 2018"
"citrobacter sp. non-koseri","doxycycline",61,5,8,3,18,"21 May 2018"
"citrobacter sp. non-koseri","flucloxacillin",68,64,94,85,98,"21 May 2018"
"citrobacter sp. non-koseri","fosfomycin",135,2,1,0,6,"21 May 2018"
"citrobacter sp. non-koseri","gentamicin",172,6,3,1,8,"21 May 2018"
"citrobacter sp. non-koseri","imipenem",167,5,3,1,7,"21 May 2018"
"citrobacter sp. non-koseri","levofloxacin",144,6,4,2,9,"21 May 2018"
"citrobacter sp. non-koseri","meropenem",96,3,3,1,9,"21 May 2018"
"citrobacter sp. non-koseri","minocycline",2,2,100,29,100,"21 May 2018"
"citrobacter sp. non-koseri","nitrofurantoin",83,5,6,2,14,"21 May 2018"
"citrobacter sp. non-koseri","norfloxacin",149,13,9,5,15,"21 May 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",172,29,17,12,23,"21 May 2018"
"citrobacter sp. non-koseri","tigecycline",3,1,33,6,80,"21 May 2018"
"citrobacter sp. non-koseri","tobramycin",8,1,13,1,50,"21 May 2018"
