microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","aztreonam",19,19,100,80,100,"21 May 2018"
"achromobacter sp.","cefepime",20,14,70,48,86,"21 May 2018"
"achromobacter sp.","ceftazidime",20,14,70,48,86,"21 May 2018"
"achromobacter sp.","ceftriaxone",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","cefuroxime",1,1,100,17,100,"21 May 2018"
"achromobacter sp.","ciprofloxacin",20,16,80,58,92,"21 May 2018"
"achromobacter sp.","gentamicin",20,18,90,68,98,"21 May 2018"
"achromobacter sp.","levofloxacin",20,7,35,18,57,"21 May 2018"
"achromobacter sp.","meropenem",20,1,5,0,26,"21 May 2018"
"achromobacter sp.","piperacillin/tazobactam",20,1,5,0,26,"21 May 2018"
"achromobacter sp.","tobramycin",20,18,90,68,98,"21 May 2018"
"acinetobacter sp.","amoxicillin",4,4,100,45,100,"21 May 2018"
"acinetobacter sp.","amoxicillin/clavulanate",24,24,100,83,100,"21 May 2018"
"acinetobacter sp.","azithromycin",2,2,100,29,100,"21 May 2018"
"acinetobacter sp.","cefepime",105,10,10,5,17,"21 May 2018"
"acinetobacter sp.","ceftazidime",103,16,16,10,24,"21 May 2018"
"acinetobacter sp.","ceftriaxone",4,4,100,45,100,"21 May 2018"
"acinetobacter sp.","cefuroxime",24,24,100,83,100,"21 May 2018"
"acinetobacter sp.","ciprofloxacin",105,9,9,4,16,"21 May 2018"
"acinetobacter sp.","colistin",14,2,14,3,41,"21 May 2018"
"acinetobacter sp.","cotrimoxazole",105,19,18,12,27,"21 May 2018"
"acinetobacter sp.","ertapenem",3,3,100,38,100,"21 May 2018"
"acinetobacter sp.","flucloxacillin",2,2,100,29,100,"21 May 2018"
"acinetobacter sp.","fosfomycin",8,8,100,62,100,"21 May 2018"
"acinetobacter sp.","gentamicin",105,8,8,4,15,"21 May 2018"
"acinetobacter sp.","imipenem",105,8,8,4,15,"21 May 2018"
"acinetobacter sp.","levofloxacin",27,1,4,0,20,"21 May 2018"
"acinetobacter sp.","meropenem",104,12,12,7,19,"21 May 2018"
"acinetobacter sp.","minocycline",8,3,38,14,70,"21 May 2018"
