microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",3,2,67,20,94,"12 Jul 2018"
"achromobacter sp.","azithromycin",6,6,100,55,100,"12 Jul 2018"
"achromobacter sp.","aztreonam",1,1,100,17,100,"12 Jul 2018"
"achromobacter sp.","cefepime",37,33,89,75,96,"12 Jul 2018"
"achromobacter sp.","ceftazidime",37,23,62,46,76,"12 Jul 2018"
"achromobacter sp.","ceftriaxone",3,3,100,38,100,"12 Jul 2018"
"achromobacter sp.","cefuroxime",2,2,100,29,100,"12 Jul 2018"
"achromobacter sp.","ciprofloxacin",38,36,95,82,99,"12 Jul 2018"
"achromobacter sp.","colistin",5,1,20,3,64,"12 Jul 2018"
"achromobacter sp.","cotrimoxazole",37,6,16,7,32,"12 Jul 2018"
"achromobacter sp.","gentamicin",37,35,95,81,99,"12 Jul 2018"
"achromobacter sp.","imipenem",38,7,18,9,34,"12 Jul 2018"
"achromobacter sp.","levofloxacin",37,26,70,54,83,"12 Jul 2018"
"achromobacter sp.","meropenem",40,9,23,12,38,"12 Jul 2018"
"achromobacter sp.","norfloxacin",2,2,100,29,100,"12 Jul 2018"
"achromobacter sp.","piperacillin/tazobactam",40,2,5,1,18,"12 Jul 2018"
"achromobacter sp.","tobramycin",37,35,95,81,99,"12 Jul 2018"
"acinetobacter sp.","amoxicillin",11,11,100,69,100,"12 Jul 2018"
"acinetobacter sp.","amoxicillin/clavulanate",109,104,95,89,98,"12 Jul 2018"
"acinetobacter sp.","azithromycin",19,18,95,73,100,"12 Jul 2018"
"acinetobacter sp.","aztreonam",2,2,100,29,100,"12 Jul 2018"
"acinetobacter sp.","cefepime",303,78,26,21,31,"12 Jul 2018"
"acinetobacter sp.","cefotaxime",23,22,96,77,100,"12 Jul 2018"
"acinetobacter sp.","ceftazidime",338,233,69,64,74,"12 Jul 2018"
"acinetobacter sp.","ceftriaxone",75,70,93,85,97,"12 Jul 2018"
"acinetobacter sp.","cefuroxime",66,65,98,91,100,"12 Jul 2018"
"acinetobacter sp.","ciprofloxacin",343,57,17,13,21,"12 Jul 2018"
"acinetobacter sp.","clindamycin",1,1,100,17,100,"12 Jul 2018"
"acinetobacter sp.","colistin",53,1,2,0,11,"12 Jul 2018"
"acinetobacter sp.","cotrimoxazole",341,70,21,17,25,"12 Jul 2018"
"acinetobacter sp.","ertapenem",28,28,100,85,100,"12 Jul 2018"
"acinetobacter sp.","fosfomycin",32,32,100,87,100,"12 Jul 2018"
"acinetobacter sp.","gentamicin",341,59,17,14,22,"12 Jul 2018"
"acinetobacter sp.","imipenem",300,49,16,13,21,"12 Jul 2018"
"acinetobacter sp.","levofloxacin",296,53,18,14,23,"12 Jul 2018"
"acinetobacter sp.","meropenem",332,54,16,13,21,"12 Jul 2018"
"acinetobacter sp.","minocycline",1,1,100,17,100,"12 Jul 2018"
"acinetobacter sp.","nitrofurantoin",32,32,100,87,100,"12 Jul 2018"
"acinetobacter sp.","norfloxacin",42,17,40,27,56,"12 Jul 2018"
"acinetobacter sp.","piperacillin/tazobactam",276,68,25,20,30,"12 Jul 2018"
"acinetobacter sp.","rifampicin",16,1,6,0,31,"12 Jul 2018"
"acinetobacter sp.","teicoplanin",1,1,100,17,100,"12 Jul 2018"
"acinetobacter sp.","tigecycline",4,4,100,45,100,"12 Jul 2018"
"acinetobacter sp.","tobramycin",273,42,15,12,20,"12 Jul 2018"
"burkholderia sp.","amoxicillin/clavulanate",3,3,100,38,100,"12 Jul 2018"
"burkholderia sp.","aztreonam",2,2,100,29,100,"12 Jul 2018"
"burkholderia sp.","cefepime",8,5,63,30,86,"12 Jul 2018"
"burkholderia sp.","ceftazidime",10,8,80,48,95,"12 Jul 2018"
"burkholderia sp.","ceftriaxone",3,3,100,38,100,"12 Jul 2018"
"burkholderia sp.","cefuroxime",1,1,100,17,100,"12 Jul 2018"
"burkholderia sp.","ciprofloxacin",10,9,90,57,100,"12 Jul 2018"
"burkholderia sp.","colistin",3,3,100,38,100,"12 Jul 2018"
"burkholderia sp.","cotrimoxazole",10,4,40,17,69,"12 Jul 2018"
"burkholderia sp.","gentamicin",10,10,100,67,100,"12 Jul 2018"
"burkholderia sp.","imipenem",8,8,100,62,100,"12 Jul 2018"
"burkholderia sp.","levofloxacin",8,4,50,22,78,"12 Jul 2018"
"burkholderia sp.","meropenem",10,3,30,11,61,"12 Jul 2018"
"burkholderia sp.","minocycline",9,4,44,19,73,"12 Jul 2018"
"burkholderia sp.","norfloxacin",1,1,100,17,100,"12 Jul 2018"
"burkholderia sp.","piperacillin/tazobactam",10,7,70,39,89,"12 Jul 2018"
"burkholderia sp.","tobramycin",10,10,100,67,100,"12 Jul 2018"
"campylobacter coli","azithromycin",23,4,17,7,38,"12 Jul 2018"
"campylobacter coli","ciprofloxacin",23,16,70,49,84,"12 Jul 2018"
"campylobacter coli","doxycycline",5,2,40,12,77,"12 Jul 2018"
"campylobacter jejuni","azithromycin",207,2,1,0,4,"12 Jul 2018"
"campylobacter jejuni","ciprofloxacin",213,134,63,56,69,"12 Jul 2018"
"campylobacter jejuni","clarithromycin",12,1,8,0,38,"12 Jul 2018"
"campylobacter jejuni","doxycycline",56,24,43,31,56,"12 Jul 2018"
"campylobacter jejuni","erythromycin",17,1,6,0,29,"12 Jul 2018"
"citrobacter koseri","amoxicillin",158,158,100,97,100,"12 Jul 2018"
"citrobacter koseri","amoxicillin/clavulanate",475,27,6,4,8,"12 Jul 2018"
"citrobacter koseri","cefepime",464,5,1,0,3,"12 Jul 2018"
"citrobacter koseri","cefotaxime",102,3,3,1,9,"12 Jul 2018"
"citrobacter koseri","ceftazidime",288,5,2,1,4,"12 Jul 2018"
"citrobacter koseri","ceftriaxone",471,13,3,2,5,"12 Jul 2018"
"citrobacter koseri","cefuroxime",466,141,30,26,35,"12 Jul 2018"
"citrobacter koseri","ciprofloxacin",473,5,1,0,3,"12 Jul 2018"
"citrobacter koseri","cotrimoxazole",473,8,2,1,3,"12 Jul 2018"
"citrobacter koseri","doxycycline",38,1,3,0,15,"12 Jul 2018"
"citrobacter koseri","ertapenem",247,1,0,0,3,"12 Jul 2018"
"citrobacter koseri","fosfomycin",236,1,0,0,3,"12 Jul 2018"
"citrobacter koseri","gentamicin",470,2,0,0,2,"12 Jul 2018"
"citrobacter koseri","levofloxacin",278,3,1,0,3,"12 Jul 2018"
"citrobacter koseri","minocycline",22,4,18,7,39,"12 Jul 2018"
"citrobacter koseri","nitrofurantoin",239,71,30,24,36,"12 Jul 2018"
"citrobacter koseri","norfloxacin",442,6,1,1,3,"12 Jul 2018"
"citrobacter koseri","piperacillin/tazobactam",425,22,5,3,8,"12 Jul 2018"
"citrobacter koseri","tobramycin",126,1,1,0,5,"12 Jul 2018"
"citrobacter sp. non-koseri","amoxicillin",114,114,100,96,100,"12 Jul 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",422,411,97,95,99,"12 Jul 2018"
"citrobacter sp. non-koseri","aztreonam",1,1,100,17,100,"12 Jul 2018"
"citrobacter sp. non-koseri","cefepime",404,32,8,6,11,"12 Jul 2018"
"citrobacter sp. non-koseri","cefotaxime",93,27,29,21,39,"12 Jul 2018"
"citrobacter sp. non-koseri","ceftazidime",240,66,28,22,33,"12 Jul 2018"
"citrobacter sp. non-koseri","ceftriaxone",422,123,29,25,34,"12 Jul 2018"
"citrobacter sp. non-koseri","cefuroxime",406,209,51,47,56,"12 Jul 2018"
"citrobacter sp. non-koseri","ciprofloxacin",422,23,5,4,8,"12 Jul 2018"
"citrobacter sp. non-koseri","cotrimoxazole",422,46,11,8,14,"12 Jul 2018"
"citrobacter sp. non-koseri","doxycycline",25,2,8,1,26,"12 Jul 2018"
"citrobacter sp. non-koseri","fosfomycin",182,4,2,1,6,"12 Jul 2018"
"citrobacter sp. non-koseri","gentamicin",421,22,5,3,8,"12 Jul 2018"
"citrobacter sp. non-koseri","imipenem",222,5,2,1,5,"12 Jul 2018"
"citrobacter sp. non-koseri","levofloxacin",265,19,7,5,11,"12 Jul 2018"
"citrobacter sp. non-koseri","meropenem",328,3,1,0,3,"12 Jul 2018"
"citrobacter sp. non-koseri","minocycline",23,7,30,16,51,"12 Jul 2018"
"citrobacter sp. non-koseri","nitrofurantoin",190,43,23,17,29,"12 Jul 2018"
