microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",2,2,100,29,100," 3 Apr 2018"
"achromobacter sp.","amoxicillin/clavulanate",10,3,30,11,61," 3 Apr 2018"
"achromobacter sp.","azithromycin",1,1,100,17,100," 3 Apr 2018"
"achromobacter sp.","aztreonam",3,3,100,38,100," 3 Apr 2018"
"achromobacter sp.","cefepime",31,29,94,78,99," 3 Apr 2018"
"achromobacter sp.","ceftazidime",13,9,69,42,87," 3 Apr 2018"
"achromobacter sp.","ceftriaxone",11,11,100,69,100," 3 Apr 2018"
"achromobacter sp.","cefuroxime",10,10,100,67,100," 3 Apr 2018"
"achromobacter sp.","ciprofloxacin",31,27,87,70,95," 3 Apr 2018"
"achromobacter sp.","cotrimoxazole",31,7,23,11,40," 3 Apr 2018"
"achromobacter sp.","ertapenem",3,2,67,20,94," 3 Apr 2018"
"achromobacter sp.","gentamicin",12,11,92,62,100," 3 Apr 2018"
"achromobacter sp.","imipenem",14,4,29,12,55," 3 Apr 2018"
"achromobacter sp.","levofloxacin",12,9,75,46,91," 3 Apr 2018"
"achromobacter sp.","meropenem",31,5,16,7,33," 3 Apr 2018"
"achromobacter sp.","norfloxacin",3,3,100,38,100," 3 Apr 2018"
"achromobacter sp.","piperacillin/tazobactam",31,3,10,3,26," 3 Apr 2018"
"achromobacter sp.","tobramycin",11,10,91,60,100," 3 Apr 2018"
"acinetobacter sp.","amoxicillin",19,19,100,80,100," 3 Apr 2018"
"acinetobacter sp.","amoxicillin/clavulanate",103,101,98,93,100," 3 Apr 2018"
"acinetobacter sp.","azithromycin",13,12,92,64,100," 3 Apr 2018"
"acinetobacter sp.","aztreonam",6,6,100,55,100," 3 Apr 2018"
"acinetobacter sp.","cefepime",164,40,24,18,32," 3 Apr 2018"
"acinetobacter sp.","cefotaxime",1,1,100,17,100," 3 Apr 2018"
"acinetobacter sp.","ceftazidime",163,76,47,39,54," 3 Apr 2018"
"acinetobacter sp.","ceftriaxone",66,66,100,93,100," 3 Apr 2018"
"acinetobacter sp.","cefuroxime",101,100,99,94,100," 3 Apr 2018"
"acinetobacter sp.","ciprofloxacin",180,29,16,11,22," 3 Apr 2018"
"acinetobacter sp.","cotrimoxazole",178,29,16,12,22," 3 Apr 2018"
"acinetobacter sp.","ertapenem",7,7,100,59,100," 3 Apr 2018"
"acinetobacter sp.","flucloxacillin",2,1,50,10,90," 3 Apr 2018"
"acinetobacter sp.","fosfomycin",13,13,100,73,100," 3 Apr 2018"
"acinetobacter sp.","gentamicin",133,24,18,12,26," 3 Apr 2018"
"acinetobacter sp.","imipenem",164,23,14,9,20," 3 Apr 2018"
"acinetobacter sp.","levofloxacin",137,18,13,8,20," 3 Apr 2018"
"acinetobacter sp.","meropenem",165,26,16,11,22," 3 Apr 2018"
"acinetobacter sp.","minocycline",3,2,67,20,94," 3 Apr 2018"
"acinetobacter sp.","nitrofurantoin",12,12,100,71,100," 3 Apr 2018"
"acinetobacter sp.","norfloxacin",3,1,33,6,80," 3 Apr 2018"
"acinetobacter sp.","piperacillin/tazobactam",160,73,46,38,53," 3 Apr 2018"
"acinetobacter sp.","rifampicin",16,6,38,19,61," 3 Apr 2018"
"acinetobacter sp.","tigecycline",3,3,100,38,100," 3 Apr 2018"
"acinetobacter sp.","tobramycin",139,22,16,11,23," 3 Apr 2018"
