microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",3,3,100,38,100," 7 Jun 2018"
"achromobacter sp.","amoxicillin/clavulanate",6,2,33,10,70," 7 Jun 2018"
"achromobacter sp.","cefazolin",1,1,100,17,100," 7 Jun 2018"
"achromobacter sp.","cefepime",10,9,90,57,100," 7 Jun 2018"
"achromobacter sp.","ceftazidime",33,10,30,17,48," 7 Jun 2018"
"achromobacter sp.","ceftriaxone",5,4,80,36,97," 7 Jun 2018"
"achromobacter sp.","cefuroxime",5,5,100,51,100," 7 Jun 2018"
"achromobacter sp.","ciprofloxacin",10,9,90,57,100," 7 Jun 2018"
"achromobacter sp.","cotrimoxazole",30,5,17,7,34," 7 Jun 2018"
"achromobacter sp.","ertapenem",2,2,100,29,100," 7 Jun 2018"
"achromobacter sp.","gentamicin",10,9,90,57,100," 7 Jun 2018"
"achromobacter sp.","imipenem",10,1,10,0,43," 7 Jun 2018"
"achromobacter sp.","levofloxacin",27,21,78,59,90," 7 Jun 2018"
"achromobacter sp.","meropenem",28,3,11,3,28," 7 Jun 2018"
"achromobacter sp.","minocycline",23,5,22,9,42," 7 Jun 2018"
"achromobacter sp.","norfloxacin",1,1,100,17,100," 7 Jun 2018"
"achromobacter sp.","tobramycin",8,7,88,51,100," 7 Jun 2018"
"acinetobacter sp.","amoxicillin",21,21,100,81,100," 7 Jun 2018"
"acinetobacter sp.","amoxicillin/clavulanate",34,34,100,88,100," 7 Jun 2018"
"acinetobacter sp.","azithromycin",1,1,100,17,100," 7 Jun 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100," 7 Jun 2018"
"acinetobacter sp.","cefazolin",5,5,100,51,100," 7 Jun 2018"
"acinetobacter sp.","cefepime",43,3,7,2,19," 7 Jun 2018"
"acinetobacter sp.","ceftazidime",43,11,26,15,40," 7 Jun 2018"
"acinetobacter sp.","ceftriaxone",7,7,100,59,100," 7 Jun 2018"
"acinetobacter sp.","cefuroxime",23,23,100,83,100," 7 Jun 2018"
"acinetobacter sp.","ciprofloxacin",161,9,6,3,10," 7 Jun 2018"
"acinetobacter sp.","cotrimoxazole",145,13,9,5,15," 7 Jun 2018"
"acinetobacter sp.","ertapenem",5,5,100,51,100," 7 Jun 2018"
"acinetobacter sp.","fosfomycin",5,5,100,51,100," 7 Jun 2018"
"acinetobacter sp.","gentamicin",158,6,4,2,8," 7 Jun 2018"
"acinetobacter sp.","imipenem",157,5,3,1,7," 7 Jun 2018"
"acinetobacter sp.","levofloxacin",151,8,5,3,10," 7 Jun 2018"
"acinetobacter sp.","meropenem",138,8,6,3,11," 7 Jun 2018"
"acinetobacter sp.","nitrofurantoin",3,3,100,38,100," 7 Jun 2018"
"acinetobacter sp.","piperacillin/tazobactam",42,13,31,19,46," 7 Jun 2018"
"acinetobacter sp.","rifampicin",1,1,100,17,100," 7 Jun 2018"
"acinetobacter sp.","tobramycin",150,8,5,3,10," 7 Jun 2018"
"burkholderia sp.","amoxicillin/clavulanate",2,2,100,29,100," 7 Jun 2018"
"burkholderia sp.","aztreonam",2,2,100,29,100," 7 Jun 2018"
"burkholderia sp.","ceftazidime",7,2,29,8,65," 7 Jun 2018"
"burkholderia sp.","cefuroxime",2,2,100,29,100," 7 Jun 2018"
"burkholderia sp.","ciprofloxacin",2,1,50,10,90," 7 Jun 2018"
"burkholderia sp.","colistin",1,1,100,17,100," 7 Jun 2018"
"burkholderia sp.","cotrimoxazole",7,1,14,1,54," 7 Jun 2018"
"burkholderia sp.","gentamicin",2,1,50,10,90," 7 Jun 2018"
"burkholderia sp.","levofloxacin",7,5,71,35,92," 7 Jun 2018"
"burkholderia sp.","meropenem",7,2,29,8,65," 7 Jun 2018"
"burkholderia sp.","minocycline",5,2,40,12,77," 7 Jun 2018"
"burkholderia sp.","tobramycin",2,1,50,10,90," 7 Jun 2018"
"campylobacter coli","ciprofloxacin",29,25,86,69,95," 7 Jun 2018"
"campylobacter coli","doxycycline",19,14,74,51,88," 7 Jun 2018"
"campylobacter jejuni","azithromycin",149,4,3,1,7," 7 Jun 2018"
"campylobacter jejuni","ciprofloxacin",261,142,54,48,60," 7 Jun 2018"
"campylobacter jejuni","clarithromycin",126,5,4,2,9," 7 Jun 2018"
"campylobacter jejuni","doxycycline",150,52,35,28,43," 7 Jun 2018"
"campylobacter jejuni","erythromycin",199,8,4,2,8," 7 Jun 2018"
"citrobacter koseri","amoxicillin",292,292,100,98,100," 7 Jun 2018"
"citrobacter koseri","amoxicillin/clavulanate",315,8,3,1,5," 7 Jun 2018"
"citrobacter koseri","ceftazidime",292,2,1,0,3," 7 Jun 2018"
"citrobacter koseri","ceftriaxone",315,4,1,0,3," 7 Jun 2018"
"citrobacter koseri","cefuroxime",265,74,28,23,34," 7 Jun 2018"
"citrobacter koseri","ciprofloxacin",314,3,1,0,3," 7 Jun 2018"
"citrobacter koseri","cotrimoxazole",315,2,1,0,2," 7 Jun 2018"
"citrobacter koseri","ertapenem",291,1,0,0,2," 7 Jun 2018"
"citrobacter koseri","flucloxacillin",152,8,5,3,10," 7 Jun 2018"
"citrobacter koseri","fosfomycin",249,2,1,0,3," 7 Jun 2018"
"citrobacter koseri","gentamicin",254,3,1,0,4," 7 Jun 2018"
"citrobacter koseri","levofloxacin",217,1,0,0,3," 7 Jun 2018"
"citrobacter koseri","nitrofurantoin",211,37,18,13,23," 7 Jun 2018"
"citrobacter koseri","norfloxacin",151,3,2,0,6," 7 Jun 2018"
"citrobacter koseri","piperacillin/tazobactam",289,7,2,1,5," 7 Jun 2018"
"citrobacter sp. non-koseri","amoxicillin",265,265,100,98,100," 7 Jun 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",296,286,97,94,98," 7 Jun 2018"
"citrobacter sp. non-koseri","cefazolin",6,6,100,55,100," 7 Jun 2018"
"citrobacter sp. non-koseri","cefepime",268,2,1,0,3," 7 Jun 2018"
"citrobacter sp. non-koseri","ceftazidime",289,53,18,14,23," 7 Jun 2018"
"citrobacter sp. non-koseri","ceftriaxone",296,54,18,14,23," 7 Jun 2018"
"citrobacter sp. non-koseri","cefuroxime",228,76,33,28,40," 7 Jun 2018"
"citrobacter sp. non-koseri","ciprofloxacin",277,17,6,4,10," 7 Jun 2018"
"citrobacter sp. non-koseri","cotrimoxazole",278,19,7,4,11," 7 Jun 2018"
"citrobacter sp. non-koseri","ertapenem",282,4,1,0,4," 7 Jun 2018"
"citrobacter sp. non-koseri","flucloxacillin",130,119,92,85,95," 7 Jun 2018"
"citrobacter sp. non-koseri","fosfomycin",204,6,3,1,6," 7 Jun 2018"
"citrobacter sp. non-koseri","gentamicin",237,3,1,0,4," 7 Jun 2018"
"citrobacter sp. non-koseri","levofloxacin",193,10,5,3,9," 7 Jun 2018"
"citrobacter sp. non-koseri","meropenem",164,1,1,0,4," 7 Jun 2018"
"citrobacter sp. non-koseri","moxifloxacin",51,2,4,0,14," 7 Jun 2018"
"citrobacter sp. non-koseri","nitrofurantoin",157,14,9,5,15," 7 Jun 2018"
"citrobacter sp. non-koseri","norfloxacin",122,12,10,6,17," 7 Jun 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",270,32,12,9,16," 7 Jun 2018"
"enterobacter sp.","amoxicillin",893,891,100,99,100," 7 Jun 2018"
"enterobacter sp.","amoxicillin/clavulanate",947,944,100,99,100," 7 Jun 2018"
"enterobacter sp.","cefazolin",24,24,100,83,100," 7 Jun 2018"
"enterobacter sp.","cefepime",897,64,7,6,9," 7 Jun 2018"
"enterobacter sp.","ceftazidime",922,227,25,22,28," 7 Jun 2018"
"enterobacter sp.","ceftriaxone",947,225,24,21,27," 7 Jun 2018"
"enterobacter sp.","cefuroxime",782,613,78,75,81," 7 Jun 2018"
"enterobacter sp.","ciprofloxacin",931,46,5,4,7," 7 Jun 2018"
"enterobacter sp.","cotrimoxazole",929,46,5,4,7," 7 Jun 2018"
"enterobacter sp.","ertapenem",912,60,7,5,8," 7 Jun 2018"
"enterobacter sp.","flucloxacillin",521,515,99,97,100," 7 Jun 2018"
"enterobacter sp.","fosfomycin",711,267,38,34,41," 7 Jun 2018"
"enterobacter sp.","gentamicin",820,25,3,2,4," 7 Jun 2018"
