microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",8,8,100,62,100,"10 Sep 2018"
"achromobacter sp.","amoxicillin/clavulanate",36,12,33,20,50,"10 Sep 2018"
"achromobacter sp.","azithromycin",15,15,100,76,100,"10 Sep 2018"
"achromobacter sp.","aztreonam",32,32,100,87,100,"10 Sep 2018"
"achromobacter sp.","cefazolin",2,2,100,29,100,"10 Sep 2018"
"achromobacter sp.","cefepime",121,108,89,82,94,"10 Sep 2018"
"achromobacter sp.","cefotaxime",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","ceftazidime",142,80,56,48,64,"10 Sep 2018"
"achromobacter sp.","ceftriaxone",38,37,97,85,100,"10 Sep 2018"
"achromobacter sp.","cefuroxime",33,33,100,87,100,"10 Sep 2018"
"achromobacter sp.","ciprofloxacin",140,131,94,88,97,"10 Sep 2018"
"achromobacter sp.","colistin",18,2,11,2,34,"10 Sep 2018"
"achromobacter sp.","cotrimoxazole",117,15,13,8,20,"10 Sep 2018"
"achromobacter sp.","ertapenem",10,8,80,48,95,"10 Sep 2018"
"achromobacter sp.","fosfomycin",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","gentamicin",119,109,92,85,95,"10 Sep 2018"
"achromobacter sp.","imipenem",129,19,15,10,22,"10 Sep 2018"
"achromobacter sp.","levofloxacin",123,83,67,59,75,"10 Sep 2018"
"achromobacter sp.","meropenem",140,19,14,9,20,"10 Sep 2018"
"achromobacter sp.","minocycline",24,5,21,9,41,"10 Sep 2018"
"achromobacter sp.","nitrofurantoin",3,3,100,38,100,"10 Sep 2018"
"achromobacter sp.","norfloxacin",6,6,100,55,100,"10 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",133,6,5,2,10,"10 Sep 2018"
"achromobacter sp.","tobramycin",113,104,92,85,96,"10 Sep 2018"
"acinetobacter sp.","amoxicillin",93,92,99,93,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",342,330,96,94,98,"10 Sep 2018"
"acinetobacter sp.","azithromycin",64,58,91,81,96,"10 Sep 2018"
"acinetobacter sp.","aztreonam",43,42,98,87,100,"10 Sep 2018"
"acinetobacter sp.","cefazolin",12,12,100,71,100,"10 Sep 2018"
"acinetobacter sp.","cefepime",728,123,17,14,20,"10 Sep 2018"
"acinetobacter sp.","cefotaxime",17,17,100,78,100,"10 Sep 2018"
"acinetobacter sp.","ceftazidime",759,332,44,40,47,"10 Sep 2018"
"acinetobacter sp.","ceftriaxone",142,139,98,94,100,"10 Sep 2018"
"acinetobacter sp.","cefuroxime",287,284,99,97,100,"10 Sep 2018"
"acinetobacter sp.","ciprofloxacin",1059,111,10,9,12,"10 Sep 2018"
"acinetobacter sp.","clindamycin",2,2,100,29,100,"10 Sep 2018"
"acinetobacter sp.","colistin",296,3,1,0,3,"10 Sep 2018"
"acinetobacter sp.","cotrimoxazole",930,119,13,11,15,"10 Sep 2018"
"acinetobacter sp.","doxycycline",4,1,25,4,71,"10 Sep 2018"
"acinetobacter sp.","ertapenem",49,48,98,88,100,"10 Sep 2018"
"acinetobacter sp.","flucloxacillin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","fosfomycin",84,81,96,89,99,"10 Sep 2018"
"acinetobacter sp.","gentamicin",1027,99,10,8,12,"10 Sep 2018"
"acinetobacter sp.","imipenem",1005,85,8,7,10,"10 Sep 2018"
"acinetobacter sp.","levofloxacin",870,95,11,9,13,"10 Sep 2018"
"acinetobacter sp.","meropenem",909,93,10,8,12,"10 Sep 2018"
"acinetobacter sp.","minocycline",7,3,43,16,75,"10 Sep 2018"
"acinetobacter sp.","moxifloxacin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","nitrofurantoin",101,100,99,94,100,"10 Sep 2018"
"acinetobacter sp.","norfloxacin",49,18,37,25,51,"10 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",676,182,27,24,30,"10 Sep 2018"
"acinetobacter sp.","rifampicin",68,8,12,6,22,"10 Sep 2018"
"acinetobacter sp.","teicoplanin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","tigecycline",7,6,86,46,99,"10 Sep 2018"
"acinetobacter sp.","tobramycin",859,78,9,7,11,"10 Sep 2018"
"actinomyces sp.","amoxicillin",46,1,2,0,13,"10 Sep 2018"
"actinomyces sp.","cefazolin",1,1,100,17,100,"10 Sep 2018"
"actinomyces sp.","ciprofloxacin",36,22,61,45,75,"10 Sep 2018"
"actinomyces sp.","clindamycin",77,14,18,11,28,"10 Sep 2018"
"actinomyces sp.","colistin",1,1,100,17,100,"10 Sep 2018"
"actinomyces sp.","cotrimoxazole",25,3,12,3,31,"10 Sep 2018"
"actinomyces sp.","erythromycin",34,4,12,4,27,"10 Sep 2018"
"actinomyces sp.","gentamicin",35,33,94,80,99,"10 Sep 2018"
"actinomyces sp.","levofloxacin",12,7,58,32,81,"10 Sep 2018"
"actinomyces sp.","metronidazole",20,20,100,81,100,"10 Sep 2018"
"actinomyces sp.","moxifloxacin",14,7,50,27,73,"10 Sep 2018"
"actinomyces sp.","penicillin g",32,3,9,3,25,"10 Sep 2018"
"actinomyces sp.","tobramycin",1,1,100,17,100,"10 Sep 2018"
"bacteroides fragilis","amoxicillin",25,25,100,84,100,"10 Sep 2018"
"bacteroides fragilis","amoxicillin/clavulanate",248,40,16,12,21,"10 Sep 2018"
"bacteroides fragilis","ceftriaxone",1,1,100,17,100,"10 Sep 2018"
"bacteroides fragilis","clindamycin",225,61,27,22,33,"10 Sep 2018"
"bacteroides fragilis","imipenem",194,13,7,4,11,"10 Sep 2018"
"bacteroides fragilis","meropenem",110,10,9,5,16,"10 Sep 2018"
"bacteroides fragilis","metronidazole",241,6,2,1,5,"10 Sep 2018"
"bacteroides fragilis","moxifloxacin",25,13,52,34,70,"10 Sep 2018"
"bacteroides fragilis","penicillin g",29,29,100,86,100,"10 Sep 2018"
"bacteroides fragilis","piperacillin/tazobactam",137,38,28,21,36,"10 Sep 2018"
"bacteroides fragilis","vancomycin",25,25,100,84,100,"10 Sep 2018"
"burkholderia sp.","amoxicillin/clavulanate",4,4,100,45,100,"10 Sep 2018"
"burkholderia sp.","azithromycin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","aztreonam",3,3,100,38,100,"10 Sep 2018"
"burkholderia sp.","cefepime",11,6,55,28,79,"10 Sep 2018"
"burkholderia sp.","ceftazidime",16,9,56,33,77,"10 Sep 2018"
"burkholderia sp.","ceftriaxone",4,3,75,29,96,"10 Sep 2018"
"burkholderia sp.","cefuroxime",2,2,100,29,100,"10 Sep 2018"
"burkholderia sp.","ciprofloxacin",13,12,92,64,100,"10 Sep 2018"
"burkholderia sp.","colistin",5,5,100,51,100,"10 Sep 2018"
"burkholderia sp.","cotrimoxazole",15,5,33,15,59,"10 Sep 2018"
"burkholderia sp.","gentamicin",13,12,92,64,100,"10 Sep 2018"
"burkholderia sp.","imipenem",11,8,73,43,91,"10 Sep 2018"
"burkholderia sp.","levofloxacin",14,6,43,21,67,"10 Sep 2018"
"burkholderia sp.","meropenem",15,4,27,11,52,"10 Sep 2018"
"burkholderia sp.","minocycline",12,6,50,26,75,"10 Sep 2018"
"burkholderia sp.","norfloxacin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","piperacillin/tazobactam",13,8,62,35,82,"10 Sep 2018"
"burkholderia sp.","tobramycin",13,12,92,64,100,"10 Sep 2018"
"campylobacter coli","azithromycin",130,19,15,10,22,"10 Sep 2018"
"campylobacter coli","ciprofloxacin",180,130,72,65,78,"10 Sep 2018"
"campylobacter coli","clarithromycin",30,5,17,7,34,"10 Sep 2018"
"campylobacter coli","clindamycin",2,2,100,29,100,"10 Sep 2018"
"campylobacter coli","doxycycline",70,42,60,48,71,"10 Sep 2018"
"campylobacter coli","erythromycin",65,13,20,12,31,"10 Sep 2018"
"campylobacter jejuni","amoxicillin",2,1,50,10,90,"10 Sep 2018"
"campylobacter jejuni","azithromycin",1158,16,1,1,2,"10 Sep 2018"
"campylobacter jejuni","ceftriaxone",1,1,100,17,100,"10 Sep 2018"
"campylobacter jejuni","ciprofloxacin",1686,977,58,56,60,"10 Sep 2018"
"campylobacter jejuni","clarithromycin",264,9,3,2,6,"10 Sep 2018"
"campylobacter jejuni","doxycycline",658,247,38,34,41,"10 Sep 2018"
"campylobacter jejuni","erythromycin",641,14,2,1,4,"10 Sep 2018"
"citrobacter koseri","amoxicillin",1237,1236,100,99,100,"10 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",2123,83,4,3,5,"10 Sep 2018"
"citrobacter koseri","aztreonam",100,2,2,0,8,"10 Sep 2018"
"citrobacter koseri","cefazolin",64,1,2,0,9,"10 Sep 2018"
"citrobacter koseri","cefepime",1948,19,1,1,2,"10 Sep 2018"
"citrobacter koseri","cefotaxime",212,4,2,1,5,"10 Sep 2018"
"citrobacter koseri","ceftazidime",1843,30,2,1,2,"10 Sep 2018"
"citrobacter koseri","ceftriaxone",2046,54,3,2,3,"10 Sep 2018"
"citrobacter koseri","cefuroxime",1928,700,36,34,38,"10 Sep 2018"
"citrobacter koseri","ciprofloxacin",2118,26,1,1,2,"10 Sep 2018"
"citrobacter koseri","colistin",105,2,2,0,7,"10 Sep 2018"
"citrobacter koseri","cotrimoxazole",2043,24,1,1,2,"10 Sep 2018"
"citrobacter koseri","doxycycline",111,6,5,2,12,"10 Sep 2018"
"citrobacter koseri","ertapenem",1615,8,0,0,1,"10 Sep 2018"
"citrobacter koseri","fosfomycin",1563,12,1,0,1,"10 Sep 2018"
"citrobacter koseri","gentamicin",1876,12,1,0,1,"10 Sep 2018"
"citrobacter koseri","imipenem",1784,3,0,0,1,"10 Sep 2018"
"citrobacter koseri","levofloxacin",904,13,1,1,2,"10 Sep 2018"
"citrobacter koseri","meropenem",1173,1,0,0,1,"10 Sep 2018"
"citrobacter koseri","minocycline",18,3,17,5,40,"10 Sep 2018"
"citrobacter koseri","nitrofurantoin",1432,431,30,28,33,"10 Sep 2018"
"citrobacter koseri","norfloxacin",1717,36,2,2,3,"10 Sep 2018"
"citrobacter koseri","piperacillin/tazobactam",1918,102,5,4,6,"10 Sep 2018"
"citrobacter koseri","tigecycline",118,1,1,0,5,"10 Sep 2018"
"citrobacter koseri","tobramycin",289,2,1,0,3,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin",999,996,100,99,100,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",1718,1655,96,95,97,"10 Sep 2018"
"citrobacter sp. non-koseri","aztreonam",126,51,40,32,49,"10 Sep 2018"
"citrobacter sp. non-koseri","cefazolin",16,16,100,77,100,"10 Sep 2018"
"citrobacter sp. non-koseri","cefepime",1670,65,4,3,5,"10 Sep 2018"
"citrobacter sp. non-koseri","cefotaxime",161,36,22,17,29,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftazidime",1536,330,21,20,24,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftriaxone",1688,371,22,20,24,"10 Sep 2018"
"citrobacter sp. non-koseri","cefuroxime",1563,784,50,48,53,"10 Sep 2018"
"citrobacter sp. non-koseri","ciprofloxacin",1792,107,6,5,7,"10 Sep 2018"
"citrobacter sp. non-koseri","cotrimoxazole",1695,132,8,7,9,"10 Sep 2018"
"citrobacter sp. non-koseri","doxycycline",71,9,13,7,23,"10 Sep 2018"
"citrobacter sp. non-koseri","ertapenem",1392,12,1,0,2,"10 Sep 2018"
"citrobacter sp. non-koseri","fosfomycin",1233,19,2,1,2,"10 Sep 2018"
"citrobacter sp. non-koseri","gentamicin",1631,52,3,2,4,"10 Sep 2018"
"citrobacter sp. non-koseri","imipenem",1562,15,1,1,2,"10 Sep 2018"
"citrobacter sp. non-koseri","levofloxacin",777,44,6,4,8,"10 Sep 2018"
"citrobacter sp. non-koseri","meropenem",1094,7,1,0,1,"10 Sep 2018"
"citrobacter sp. non-koseri","minocycline",20,5,25,11,47,"10 Sep 2018"
"citrobacter sp. non-koseri","moxifloxacin",68,2,3,0,11,"10 Sep 2018"
"citrobacter sp. non-koseri","nitrofurantoin",1069,236,22,20,25,"10 Sep 2018"
"citrobacter sp. non-koseri","norfloxacin",1355,118,9,7,10,"10 Sep 2018"
"citrobacter sp. non-koseri","penicillin g",1,1,100,17,100,"10 Sep 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",1651,281,17,15,19,"10 Sep 2018"
"citrobacter sp. non-koseri","teicoplanin",1,1,100,17,100,"10 Sep 2018"
"citrobacter sp. non-koseri","tigecycline",148,14,9,6,15,"10 Sep 2018"
"citrobacter sp. non-koseri","tobramycin",299,22,7,5,11,"10 Sep 2018"
"enterobacter sp.","amoxicillin",2317,2316,100,100,100,"10 Sep 2018"
"enterobacter sp.","amoxicillin/clavulanate",3964,3951,100,99,100,"10 Sep 2018"
"enterobacter sp.","aztreonam",344,129,38,33,43,"10 Sep 2018"
"enterobacter sp.","cefazolin",49,49,100,91,100,"10 Sep 2018"
"enterobacter sp.","cefepime",4040,454,11,10,12,"10 Sep 2018"
"enterobacter sp.","cefotaxime",371,119,32,28,37,"10 Sep 2018"
"enterobacter sp.","ceftazidime",3544,937,26,25,28,"10 Sep 2018"
"enterobacter sp.","ceftriaxone",3949,1031,26,25,28,"10 Sep 2018"
"enterobacter sp.","cefuroxime",3641,2868,79,77,80,"10 Sep 2018"
"enterobacter sp.","ciprofloxacin",4254,244,6,5,6,"10 Sep 2018"
"enterobacter sp.","clindamycin",2,1,50,10,90,"10 Sep 2018"
"enterobacter sp.","colistin",290,8,3,1,5,"10 Sep 2018"
"enterobacter sp.","cotrimoxazole",3947,254,6,6,7,"10 Sep 2018"
"enterobacter sp.","doxycycline",168,40,24,18,31,"10 Sep 2018"
"enterobacter sp.","ertapenem",3211,311,10,9,11,"10 Sep 2018"
"enterobacter sp.","fosfomycin",2673,1185,44,42,46,"10 Sep 2018"
"enterobacter sp.","gentamicin",3982,103,3,2,3,"10 Sep 2018"
"enterobacter sp.","imipenem",3710,35,1,1,1,"10 Sep 2018"
"enterobacter sp.","levofloxacin",2062,120,6,5,7,"10 Sep 2018"
"enterobacter sp.","meropenem",2935,28,1,1,1,"10 Sep 2018"
"enterobacter sp.","minocycline",74,37,50,39,61,"10 Sep 2018"
"enterobacter sp.","moxifloxacin",141,4,3,1,7,"10 Sep 2018"
"enterobacter sp.","nitrofurantoin",2188,1320,60,58,62,"10 Sep 2018"
"enterobacter sp.","norfloxacin",2875,288,10,9,11,"10 Sep 2018"
"enterobacter sp.","piperacillin/tazobactam",3973,952,24,23,25,"10 Sep 2018"
"enterobacter sp.","tigecycline",422,65,15,12,19,"10 Sep 2018"
"enterobacter sp.","tobramycin",886,48,5,4,7,"10 Sep 2018"
"enterococcus faecalis","amoxicillin",3449,14,0,0,1,"10 Sep 2018"
"enterococcus faecalis","amoxicillin/clavulanate",4171,20,0,0,1,"10 Sep 2018"
"enterococcus faecalis","azithromycin",803,803,100,99,100,"10 Sep 2018"
"enterococcus faecalis","cefazolin",313,313,100,98,100,"10 Sep 2018"
"enterococcus faecalis","ceftazidime",2,1,50,10,90,"10 Sep 2018"
"enterococcus faecalis","ceftriaxone",332,327,98,96,99,"10 Sep 2018"
"enterococcus faecalis","cefuroxime",2550,2540,100,99,100,"10 Sep 2018"
"enterococcus faecalis","ciprofloxacin",2224,403,18,17,20,"10 Sep 2018"
"enterococcus faecalis","clarithromycin",805,805,100,99,100,"10 Sep 2018"
