microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",6,4,67,30,90,"24 Sep 2018"
"achromobacter sp.","aztreonam",6,6,100,55,100,"24 Sep 2018"
"achromobacter sp.","cefepime",7,7,100,59,100,"24 Sep 2018"
"achromobacter sp.","ceftazidime",8,6,75,40,93,"24 Sep 2018"
"achromobacter sp.","ceftriaxone",5,5,100,51,100,"24 Sep 2018"
"achromobacter sp.","cefuroxime",5,5,100,51,100,"24 Sep 2018"
"achromobacter sp.","ciprofloxacin",9,9,100,65,100,"24 Sep 2018"
"achromobacter sp.","colistin",2,0,0,0,71,"24 Sep 2018"
"achromobacter sp.","cotrimoxazole",6,2,33,10,70,"24 Sep 2018"
"achromobacter sp.","ertapenem",2,2,100,29,100,"24 Sep 2018"
"achromobacter sp.","gentamicin",7,7,100,59,100,"24 Sep 2018"
"achromobacter sp.","imipenem",6,0,0,0,45,"24 Sep 2018"
"achromobacter sp.","levofloxacin",5,5,100,51,100,"24 Sep 2018"
"achromobacter sp.","meropenem",5,1,20,3,64,"24 Sep 2018"
"achromobacter sp.","nitrofurantoin",2,2,100,29,100,"24 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",8,1,13,1,50,"24 Sep 2018"
"achromobacter sp.","tobramycin",7,7,100,59,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin",6,6,100,55,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",67,65,97,89,100,"24 Sep 2018"
"acinetobacter sp.","aztreonam",35,35,100,88,100,"24 Sep 2018"
"acinetobacter sp.","cefepime",49,5,10,4,22,"24 Sep 2018"
"acinetobacter sp.","cefotaxime",1,1,100,17,100,"24 Sep 2018"
"acinetobacter sp.","ceftazidime",49,17,35,23,49,"24 Sep 2018"
"acinetobacter sp.","ceftriaxone",34,34,100,88,100,"24 Sep 2018"
"acinetobacter sp.","cefuroxime",65,65,100,93,100,"24 Sep 2018"
"acinetobacter sp.","ciprofloxacin",115,7,6,3,12,"24 Sep 2018"
"acinetobacter sp.","colistin",51,1,2,0,11,"24 Sep 2018"
"acinetobacter sp.","cotrimoxazole",108,11,10,6,18,"24 Sep 2018"
"acinetobacter sp.","ertapenem",11,11,100,69,100,"24 Sep 2018"
"acinetobacter sp.","fosfomycin",15,15,100,76,100,"24 Sep 2018"
"acinetobacter sp.","gentamicin",115,10,9,5,15,"24 Sep 2018"
"acinetobacter sp.","imipenem",114,4,4,1,9,"24 Sep 2018"
"acinetobacter sp.","levofloxacin",91,7,8,4,15,"24 Sep 2018"
"acinetobacter sp.","meropenem",108,6,6,2,12,"24 Sep 2018"
"acinetobacter sp.","nitrofurantoin",39,39,100,89,100,"24 Sep 2018"
"acinetobacter sp.","norfloxacin",2,1,50,10,90,"24 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",45,20,44,31,59,"24 Sep 2018"
"acinetobacter sp.","tobramycin",100,6,6,3,13,"24 Sep 2018"
"actinomyces sp.","amoxicillin/clavulanate",4,0,0,0,55,"24 Sep 2018"
"actinomyces sp.","ceftriaxone",1,0,0,0,83,"24 Sep 2018"
"actinomyces sp.","clindamycin",3,0,0,0,62,"24 Sep 2018"
"actinomyces sp.","imipenem",3,0,0,0,62,"24 Sep 2018"
"actinomyces sp.","levofloxacin",2,0,0,0,71,"24 Sep 2018"
"actinomyces sp.","metronidazole",1,1,100,17,100,"24 Sep 2018"
"actinomyces sp.","penicillin g",2,0,0,0,71,"24 Sep 2018"
"actinomyces sp.","rifampicin",2,0,0,0,71,"24 Sep 2018"
"bacteroides fragilis","amoxicillin/clavulanate",13,0,0,0,27,"24 Sep 2018"
"bacteroides fragilis","clindamycin",11,0,0,0,31,"24 Sep 2018"
"bacteroides fragilis","imipenem",9,0,0,0,35,"24 Sep 2018"
"bacteroides fragilis","metronidazole",12,0,0,0,29,"24 Sep 2018"
"bacteroides fragilis","piperacillin/tazobactam",1,0,0,0,83,"24 Sep 2018"
"campylobacter coli","azithromycin",5,0,0,0,49,"24 Sep 2018"
"campylobacter coli","ciprofloxacin",11,8,73,43,91,"24 Sep 2018"
"campylobacter coli","doxycycline",6,4,67,30,90,"24 Sep 2018"
"campylobacter coli","erythromycin",6,1,17,2,58,"24 Sep 2018"
"campylobacter jejuni","azithromycin",75,0,0,0,6,"24 Sep 2018"
"campylobacter jejuni","ciprofloxacin",147,86,59,50,66,"24 Sep 2018"
"campylobacter jejuni","doxycycline",83,33,40,30,51,"24 Sep 2018"
"campylobacter jejuni","erythromycin",72,0,0,0,6,"24 Sep 2018"
"citrobacter koseri","amoxicillin",55,55,100,92,100,"24 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",188,7,4,2,8,"24 Sep 2018"
"citrobacter koseri","aztreonam",71,0,0,0,6,"24 Sep 2018"
"citrobacter koseri","cefepime",150,1,1,0,4,"24 Sep 2018"
"citrobacter koseri","cefotaxime",7,0,0,0,41,"24 Sep 2018"
"citrobacter koseri","ceftazidime",155,2,1,0,5,"24 Sep 2018"
"citrobacter koseri","ceftriaxone",158,2,1,0,5,"24 Sep 2018"
"citrobacter koseri","cefuroxime",175,99,57,49,64,"24 Sep 2018"
"citrobacter koseri","ciprofloxacin",188,2,1,0,4,"24 Sep 2018"
"citrobacter koseri","colistin",71,1,1,0,8,"24 Sep 2018"
"citrobacter koseri","cotrimoxazole",188,0,0,0,2,"24 Sep 2018"
"citrobacter koseri","doxycycline",3,0,0,0,62,"24 Sep 2018"
"citrobacter koseri","ertapenem",150,0,0,0,3,"24 Sep 2018"
"citrobacter koseri","fosfomycin",162,1,1,0,4,"24 Sep 2018"
"citrobacter koseri","gentamicin",157,1,1,0,4,"24 Sep 2018"
"citrobacter koseri","imipenem",157,0,0,0,3,"24 Sep 2018"
"citrobacter koseri","levofloxacin",91,1,1,0,7,"24 Sep 2018"
"citrobacter koseri","meropenem",107,0,0,0,4,"24 Sep 2018"
"citrobacter koseri","nitrofurantoin",129,59,46,37,54,"24 Sep 2018"
"citrobacter koseri","norfloxacin",164,2,1,0,5,"24 Sep 2018"
"citrobacter koseri","piperacillin/tazobactam",155,9,6,3,11,"24 Sep 2018"
"citrobacter koseri","tigecycline",71,1,1,0,8,"24 Sep 2018"
"citrobacter koseri","tobramycin",83,1,1,0,7,"24 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin",60,60,100,93,100,"24 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",208,205,99,96,100,"24 Sep 2018"
"citrobacter sp. non-koseri","aztreonam",86,26,30,22,41,"24 Sep 2018"
"citrobacter sp. non-koseri","cefepime",166,9,5,3,10,"24 Sep 2018"
"citrobacter sp. non-koseri","cefotaxime",6,2,33,10,70,"24 Sep 2018"
"citrobacter sp. non-koseri","ceftazidime",169,36,21,16,28,"24 Sep 2018"
"citrobacter sp. non-koseri","ceftriaxone",166,39,23,18,31,"24 Sep 2018"
"citrobacter sp. non-koseri","cefuroxime",194,116,60,53,66,"24 Sep 2018"
"citrobacter sp. non-koseri","ciprofloxacin",208,16,8,5,12,"24 Sep 2018"
"citrobacter sp. non-koseri","colistin",88,0,0,0,5,"24 Sep 2018"
"citrobacter sp. non-koseri","cotrimoxazole",208,17,8,5,13,"24 Sep 2018"
"citrobacter sp. non-koseri","ertapenem",162,3,2,0,6,"24 Sep 2018"
"citrobacter sp. non-koseri","fosfomycin",166,1,1,0,4,"24 Sep 2018"
"citrobacter sp. non-koseri","gentamicin",177,9,5,3,10,"24 Sep 2018"
"citrobacter sp. non-koseri","imipenem",176,1,1,0,4,"24 Sep 2018"
"citrobacter sp. non-koseri","levofloxacin",102,7,7,3,14,"24 Sep 2018"
"citrobacter sp. non-koseri","meropenem",133,0,0,0,3,"24 Sep 2018"
"citrobacter sp. non-koseri","nitrofurantoin",101,35,35,26,44,"24 Sep 2018"
"citrobacter sp. non-koseri","norfloxacin",165,14,8,5,14,"24 Sep 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",174,29,17,12,23,"24 Sep 2018"
"citrobacter sp. non-koseri","tigecycline",87,7,8,4,16,"24 Sep 2018"
"citrobacter sp. non-koseri","tobramycin",99,4,4,1,10,"24 Sep 2018"
"enterobacter sp.","amoxicillin",121,121,100,96,100,"24 Sep 2018"
"enterobacter sp.","amoxicillin/clavulanate",377,375,99,98,100,"24 Sep 2018"
"enterobacter sp.","aztreonam",183,52,28,22,35,"24 Sep 2018"
"enterobacter sp.","cefepime",341,45,13,10,17,"24 Sep 2018"
"enterobacter sp.","cefotaxime",7,2,29,8,65,"24 Sep 2018"
"enterobacter sp.","ceftazidime",341,90,26,22,31,"24 Sep 2018"
"enterobacter sp.","ceftriaxone",333,90,27,23,32,"24 Sep 2018"
"enterobacter sp.","cefuroxime",352,317,90,86,93,"24 Sep 2018"
"enterobacter sp.","ciprofloxacin",377,16,4,3,7,"24 Sep 2018"
"enterobacter sp.","colistin",183,6,3,1,7,"24 Sep 2018"
"enterobacter sp.","cotrimoxazole",377,16,4,3,7,"24 Sep 2018"
"enterobacter sp.","doxycycline",1,0,0,0,83,"24 Sep 2018"
"enterobacter sp.","ertapenem",335,47,14,11,18,"24 Sep 2018"
"enterobacter sp.","fosfomycin",298,88,30,25,35,"24 Sep 2018"
"enterobacter sp.","gentamicin",356,1,0,0,2,"24 Sep 2018"
"enterobacter sp.","imipenem",355,3,1,0,3,"24 Sep 2018"
"enterobacter sp.","levofloxacin",213,10,5,2,9,"24 Sep 2018"
"enterobacter sp.","meropenem",277,1,0,0,2,"24 Sep 2018"
"enterobacter sp.","moxifloxacin",1,1,100,17,100,"24 Sep 2018"
"enterobacter sp.","nitrofurantoin",202,148,73,67,79,"24 Sep 2018"
"enterobacter sp.","norfloxacin",298,21,7,5,11,"24 Sep 2018"
"enterobacter sp.","piperacillin/tazobactam",351,84,24,20,29,"24 Sep 2018"
"enterobacter sp.","tigecycline",183,37,20,15,27,"24 Sep 2018"
"enterobacter sp.","tobramycin",205,0,0,0,2,"24 Sep 2018"
"enterococcus faecalis","amoxicillin",45,0,0,0,10,"24 Sep 2018"
"enterococcus faecalis","amoxicillin/clavulanate",323,0,0,0,1,"24 Sep 2018"
"enterococcus faecalis","azithromycin",7,7,100,59,100,"24 Sep 2018"
"enterococcus faecalis","cefuroxime",105,105,100,96,100,"24 Sep 2018"
"enterococcus faecalis","ciprofloxacin",250,12,5,3,8,"24 Sep 2018"
"enterococcus faecalis","clarithromycin",7,7,100,59,100,"24 Sep 2018"
"enterococcus faecalis","clindamycin",56,56,100,92,100,"24 Sep 2018"
"enterococcus faecalis","cotrimoxazole",311,311,100,98,100,"24 Sep 2018"
"enterococcus faecalis","erythromycin",257,257,100,98,100,"24 Sep 2018"
"enterococcus faecalis","fosfomycin",54,0,0,0,8,"24 Sep 2018"
"enterococcus faecalis","fusidic acid",200,200,100,98,100,"24 Sep 2018"
"enterococcus faecalis","gentamicin",281,262,93,90,96,"24 Sep 2018"
"enterococcus faecalis","imipenem",352,1,0,0,2,"24 Sep 2018"
"enterococcus faecalis","levofloxacin",282,11,4,2,7,"24 Sep 2018"
"enterococcus faecalis","linezolid",286,1,0,0,2,"24 Sep 2018"
"enterococcus faecalis","meropenem",7,0,0,0,41,"24 Sep 2018"
"enterococcus faecalis","moxifloxacin",57,5,9,3,19,"24 Sep 2018"
"enterococcus faecalis","nitrofurantoin",312,1,0,0,2,"24 Sep 2018"
"enterococcus faecalis","norfloxacin",2,1,50,10,90,"24 Sep 2018"
"enterococcus faecalis","penicillin g",56,0,0,0,8,"24 Sep 2018"
"enterococcus faecalis","teicoplanin",267,2,1,0,3,"24 Sep 2018"
"enterococcus faecalis","tigecycline",259,0,0,0,2,"24 Sep 2018"
"enterococcus faecalis","tobramycin",200,200,100,98,100,"24 Sep 2018"
"enterococcus faecalis","vancomycin",325,1,0,0,2,"24 Sep 2018"
"enterococcus faecium","amoxicillin",33,16,48,33,65,"24 Sep 2018"
"enterococcus faecium","amoxicillin/clavulanate",130,58,45,36,53,"24 Sep 2018"
"enterococcus faecium","cefuroxime",6,6,100,55,100,"24 Sep 2018"
"enterococcus faecium","ciprofloxacin",86,14,16,10,26,"24 Sep 2018"
"enterococcus faecium","clindamycin",5,5,100,51,100,"24 Sep 2018"
"enterococcus faecium","cotrimoxazole",108,108,100,96,100,"24 Sep 2018"
"enterococcus faecium","erythromycin",70,70,100,94,100,"24 Sep 2018"
"enterococcus faecium","fosfomycin",21,5,24,10,46,"24 Sep 2018"
"enterococcus faecium","fusidic acid",65,65,100,93,100,"24 Sep 2018"
"enterococcus faecium","gentamicin",80,77,96,89,99,"24 Sep 2018"
"enterococcus faecium","imipenem",132,82,62,54,70,"24 Sep 2018"
"enterococcus faecium","levofloxacin",102,31,30,22,40,"24 Sep 2018"
"enterococcus faecium","linezolid",102,0,0,0,4,"24 Sep 2018"
"enterococcus faecium","meropenem",1,1,100,17,100,"24 Sep 2018"
"enterococcus faecium","metronidazole",1,1,100,17,100,"24 Sep 2018"
"enterococcus faecium","moxifloxacin",5,3,60,23,88,"24 Sep 2018"
"enterococcus faecium","nitrofurantoin",43,16,37,24,52,"24 Sep 2018"
"enterococcus faecium","norfloxacin",1,0,0,0,83,"24 Sep 2018"
"enterococcus faecium","penicillin g",5,3,60,23,88,"24 Sep 2018"
"enterococcus faecium","teicoplanin",102,1,1,0,6,"24 Sep 2018"
"enterococcus faecium","tigecycline",6,0,0,0,45,"24 Sep 2018"
"enterococcus faecium","tobramycin",65,65,100,93,100,"24 Sep 2018"
