microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","azithromycin",3,3,100,38,100,"10 Sep 2018"
"achromobacter sp.","aztreonam",8,8,100,62,100,"10 Sep 2018"
"achromobacter sp.","cefepime",11,11,100,69,100,"10 Sep 2018"
"achromobacter sp.","cefotaxime",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","ceftazidime",15,8,53,30,75,"10 Sep 2018"
"achromobacter sp.","ceftriaxone",6,6,100,55,100,"10 Sep 2018"
"achromobacter sp.","cefuroxime",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","ciprofloxacin",16,16,100,77,100,"10 Sep 2018"
"achromobacter sp.","colistin",4,1,25,4,71,"10 Sep 2018"
"achromobacter sp.","cotrimoxazole",5,1,20,3,64,"10 Sep 2018"
"achromobacter sp.","gentamicin",5,5,100,51,100,"10 Sep 2018"
"achromobacter sp.","levofloxacin",10,10,100,67,100,"10 Sep 2018"
"achromobacter sp.","meropenem",9,1,11,0,46,"10 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",17,1,6,0,29,"10 Sep 2018"
"achromobacter sp.","tobramycin",5,5,100,51,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin",5,4,80,36,97,"10 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",31,27,87,70,95,"10 Sep 2018"
"acinetobacter sp.","azithromycin",13,13,100,73,100,"10 Sep 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","cefepime",56,9,16,9,28,"10 Sep 2018"
"acinetobacter sp.","cefotaxime",2,2,100,29,100,"10 Sep 2018"
"acinetobacter sp.","ceftazidime",56,19,34,23,47,"10 Sep 2018"
"acinetobacter sp.","ceftriaxone",6,6,100,55,100,"10 Sep 2018"
"acinetobacter sp.","cefuroxime",31,30,97,82,100,"10 Sep 2018"
"acinetobacter sp.","ciprofloxacin",94,22,23,16,33,"10 Sep 2018"
"acinetobacter sp.","colistin",26,1,4,0,21,"10 Sep 2018"
"acinetobacter sp.","cotrimoxazole",57,9,16,8,28,"10 Sep 2018"
"acinetobacter sp.","doxycycline",2,1,50,10,90,"10 Sep 2018"
