microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","aztreonam",14,14,100,74,100,"24 Sep 2018"
"achromobacter sp.","cefepime",14,8,57,33,79,"24 Sep 2018"
"achromobacter sp.","ceftazidime",14,9,64,39,84,"24 Sep 2018"
"achromobacter sp.","ciprofloxacin",14,14,100,74,100,"24 Sep 2018"
"achromobacter sp.","cotrimoxazole",1,0,0,0,83,"24 Sep 2018"
"achromobacter sp.","gentamicin",14,13,93,66,100,"24 Sep 2018"
"achromobacter sp.","imipenem",13,0,0,0,27,"24 Sep 2018"
"achromobacter sp.","levofloxacin",14,2,14,3,41,"24 Sep 2018"
"achromobacter sp.","meropenem",14,1,7,0,34,"24 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",14,0,0,0,26,"24 Sep 2018"
"achromobacter sp.","tobramycin",14,13,93,66,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin",8,8,100,62,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",15,15,100,76,100,"24 Sep 2018"
"acinetobacter sp.","cefazolin",4,4,100,45,100,"24 Sep 2018"
"acinetobacter sp.","cefepime",72,6,8,4,17,"24 Sep 2018"
"acinetobacter sp.","ceftazidime",70,10,14,8,25,"24 Sep 2018"
"acinetobacter sp.","ceftriaxone",3,3,100,38,100,"24 Sep 2018"
"acinetobacter sp.","cefuroxime",15,15,100,76,100,"24 Sep 2018"
"acinetobacter sp.","ciprofloxacin",72,3,4,1,12,"24 Sep 2018"
"acinetobacter sp.","colistin",15,0,0,0,24,"24 Sep 2018"
"acinetobacter sp.","cotrimoxazole",72,13,18,11,29,"24 Sep 2018"
"acinetobacter sp.","ertapenem",2,2,100,29,100,"24 Sep 2018"
"acinetobacter sp.","fosfomycin",6,6,100,55,100,"24 Sep 2018"
"acinetobacter sp.","gentamicin",72,3,4,1,12,"24 Sep 2018"
"acinetobacter sp.","imipenem",72,3,4,1,12,"24 Sep 2018"
"acinetobacter sp.","levofloxacin",23,0,0,0,17,"24 Sep 2018"
"acinetobacter sp.","meropenem",71,4,6,2,14,"24 Sep 2018"
"acinetobacter sp.","minocycline",3,1,33,6,80,"24 Sep 2018"
"acinetobacter sp.","nitrofurantoin",3,3,100,38,100,"24 Sep 2018"
"acinetobacter sp.","norfloxacin",2,0,0,0,71,"24 Sep 2018"
