microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",3,1,33,6,80,"10 Sep 2018"
"achromobacter sp.","azithromycin",6,6,100,55,100,"10 Sep 2018"
"achromobacter sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","cefepime",32,29,91,75,97,"10 Sep 2018"
"achromobacter sp.","ceftazidime",32,18,56,39,72,"10 Sep 2018"
"achromobacter sp.","ceftriaxone",3,3,100,38,100,"10 Sep 2018"
"achromobacter sp.","cefuroxime",2,2,100,29,100,"10 Sep 2018"
"achromobacter sp.","ciprofloxacin",33,31,94,79,99,"10 Sep 2018"
"achromobacter sp.","colistin",5,1,20,3,64,"10 Sep 2018"
"achromobacter sp.","cotrimoxazole",32,5,16,7,32,"10 Sep 2018"
"achromobacter sp.","gentamicin",32,29,91,75,97,"10 Sep 2018"
"achromobacter sp.","imipenem",33,6,18,8,35,"10 Sep 2018"
"achromobacter sp.","levofloxacin",32,22,69,51,82,"10 Sep 2018"
"achromobacter sp.","meropenem",35,7,20,10,36,"10 Sep 2018"
"achromobacter sp.","norfloxacin",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",35,2,6,1,20,"10 Sep 2018"
"achromobacter sp.","tobramycin",32,29,91,75,97,"10 Sep 2018"
"acinetobacter sp.","amoxicillin",11,11,100,69,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",83,80,96,89,99,"10 Sep 2018"
"acinetobacter sp.","azithromycin",17,16,94,71,100,"10 Sep 2018"
"acinetobacter sp.","aztreonam",2,2,100,29,100,"10 Sep 2018"
"acinetobacter sp.","cefepime",239,58,24,19,30,"10 Sep 2018"
"acinetobacter sp.","cefotaxime",13,13,100,73,100,"10 Sep 2018"
"acinetobacter sp.","ceftazidime",272,181,67,61,72,"10 Sep 2018"
"acinetobacter sp.","ceftriaxone",56,54,96,87,100,"10 Sep 2018"
"acinetobacter sp.","cefuroxime",46,46,100,91,100,"10 Sep 2018"
"acinetobacter sp.","ciprofloxacin",276,42,15,11,20,"10 Sep 2018"
"acinetobacter sp.","clindamycin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","colistin",50,1,2,0,12,"10 Sep 2018"
"acinetobacter sp.","cotrimoxazole",273,51,19,15,24,"10 Sep 2018"
"acinetobacter sp.","ertapenem",16,16,100,77,100,"10 Sep 2018"
"acinetobacter sp.","flucloxacillin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","fosfomycin",19,19,100,80,100,"10 Sep 2018"
"acinetobacter sp.","gentamicin",274,40,15,11,19,"10 Sep 2018"
"acinetobacter sp.","imipenem",239,37,15,11,21,"10 Sep 2018"
"acinetobacter sp.","levofloxacin",232,38,16,12,22,"10 Sep 2018"
"acinetobacter sp.","meropenem",266,39,15,11,19,"10 Sep 2018"
"acinetobacter sp.","minocycline",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","nitrofurantoin",17,17,100,78,100,"10 Sep 2018"
"acinetobacter sp.","norfloxacin",26,13,50,32,68,"10 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",225,51,23,18,29,"10 Sep 2018"
"acinetobacter sp.","rifampicin",14,1,7,0,34,"10 Sep 2018"
"acinetobacter sp.","teicoplanin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","tigecycline",3,3,100,38,100,"10 Sep 2018"
"acinetobacter sp.","tobramycin",223,33,15,11,20,"10 Sep 2018"
"burkholderia sp.","amoxicillin/clavulanate",3,3,100,38,100,"10 Sep 2018"
"burkholderia sp.","aztreonam",2,2,100,29,100,"10 Sep 2018"
"burkholderia sp.","cefepime",8,5,63,30,86,"10 Sep 2018"
"burkholderia sp.","ceftazidime",10,8,80,48,95,"10 Sep 2018"
"burkholderia sp.","ceftriaxone",3,3,100,38,100,"10 Sep 2018"
"burkholderia sp.","cefuroxime",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","ciprofloxacin",10,9,90,57,100,"10 Sep 2018"
"burkholderia sp.","colistin",3,3,100,38,100,"10 Sep 2018"
"burkholderia sp.","cotrimoxazole",10,4,40,17,69,"10 Sep 2018"
"burkholderia sp.","gentamicin",10,10,100,67,100,"10 Sep 2018"
"burkholderia sp.","imipenem",8,8,100,62,100,"10 Sep 2018"
"burkholderia sp.","levofloxacin",8,4,50,22,78,"10 Sep 2018"
"burkholderia sp.","meropenem",10,3,30,11,61,"10 Sep 2018"
"burkholderia sp.","minocycline",9,4,44,19,73,"10 Sep 2018"
"burkholderia sp.","norfloxacin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","piperacillin/tazobactam",10,7,70,39,89,"10 Sep 2018"
"burkholderia sp.","tobramycin",10,10,100,67,100,"10 Sep 2018"
"campylobacter coli","azithromycin",21,4,19,7,41,"10 Sep 2018"
"campylobacter coli","ciprofloxacin",22,13,59,39,77,"10 Sep 2018"
"campylobacter coli","doxycycline",6,3,50,19,81,"10 Sep 2018"
"campylobacter coli","erythromycin",1,1,100,17,100,"10 Sep 2018"
"campylobacter jejuni","azithromycin",202,1,0,0,3,"10 Sep 2018"
"campylobacter jejuni","ciprofloxacin",213,133,62,56,69,"10 Sep 2018"
"campylobacter jejuni","doxycycline",58,25,43,31,56,"10 Sep 2018"
"citrobacter koseri","amoxicillin",151,151,100,97,100,"10 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",447,17,4,2,6,"10 Sep 2018"
"citrobacter koseri","cefepime",431,3,1,0,2,"10 Sep 2018"
"citrobacter koseri","cefotaxime",104,3,3,1,9,"10 Sep 2018"
"citrobacter koseri","ceftazidime",276,6,2,1,5,"10 Sep 2018"
"citrobacter koseri","ceftriaxone",439,9,2,1,4,"10 Sep 2018"
"citrobacter koseri","cefuroxime",438,131,30,26,34,"10 Sep 2018"
"citrobacter koseri","ciprofloxacin",445,5,1,0,3,"10 Sep 2018"
