microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",3,3,100,38,100,"10 Sep 2018"
"achromobacter sp.","amoxicillin/clavulanate",10,3,30,11,61,"10 Sep 2018"
"achromobacter sp.","azithromycin",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","cefepime",18,18,100,79,100,"10 Sep 2018"
"achromobacter sp.","ceftazidime",11,9,82,51,96,"10 Sep 2018"
"achromobacter sp.","ceftriaxone",10,10,100,67,100,"10 Sep 2018"
"achromobacter sp.","cefuroxime",10,10,100,67,100,"10 Sep 2018"
"achromobacter sp.","ciprofloxacin",18,17,94,72,100,"10 Sep 2018"
"achromobacter sp.","cotrimoxazole",18,3,17,5,40,"10 Sep 2018"
"achromobacter sp.","ertapenem",4,3,75,29,96,"10 Sep 2018"
"achromobacter sp.","gentamicin",11,10,91,60,100,"10 Sep 2018"
"achromobacter sp.","imipenem",11,5,45,21,72,"10 Sep 2018"
"achromobacter sp.","levofloxacin",9,5,56,27,81,"10 Sep 2018"
"achromobacter sp.","meropenem",18,1,6,0,28,"10 Sep 2018"
"achromobacter sp.","norfloxacin",2,2,100,29,100,"10 Sep 2018"
"achromobacter sp.","tobramycin",9,9,100,65,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin",17,17,100,78,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",56,54,96,87,100,"10 Sep 2018"
"acinetobacter sp.","azithromycin",7,7,100,59,100,"10 Sep 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","cefepime",119,23,19,13,27,"10 Sep 2018"
"acinetobacter sp.","cefotaxime",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","ceftazidime",119,48,40,32,49,"10 Sep 2018"
"acinetobacter sp.","ceftriaxone",25,25,100,84,100,"10 Sep 2018"
"acinetobacter sp.","cefuroxime",54,53,98,89,100,"10 Sep 2018"
"acinetobacter sp.","ciprofloxacin",127,15,12,7,19,"10 Sep 2018"
"acinetobacter sp.","clindamycin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","cotrimoxazole",120,17,14,9,22,"10 Sep 2018"
"acinetobacter sp.","ertapenem",4,4,100,45,100,"10 Sep 2018"
"acinetobacter sp.","fosfomycin",9,9,100,65,100,"10 Sep 2018"
"acinetobacter sp.","gentamicin",112,12,11,6,18,"10 Sep 2018"
"acinetobacter sp.","imipenem",119,11,9,5,16,"10 Sep 2018"
"acinetobacter sp.","levofloxacin",101,11,11,6,19,"10 Sep 2018"
"acinetobacter sp.","meropenem",111,11,10,6,17,"10 Sep 2018"
"acinetobacter sp.","minocycline",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","nitrofurantoin",9,9,100,65,100,"10 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",105,37,35,27,45,"10 Sep 2018"
"acinetobacter sp.","rifampicin",10,2,20,5,52,"10 Sep 2018"
"acinetobacter sp.","tigecycline",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","tobramycin",103,11,11,6,18,"10 Sep 2018"
"actinomyces sp.","ciprofloxacin",1,1,100,17,100,"10 Sep 2018"
"actinomyces sp.","clindamycin",13,3,23,8,51,"10 Sep 2018"
"actinomyces sp.","erythromycin",1,1,100,17,100,"10 Sep 2018"
"actinomyces sp.","gentamicin",1,1,100,17,100,"10 Sep 2018"
"actinomyces sp.","levofloxacin",4,3,75,29,96,"10 Sep 2018"
"bacteroides fragilis","amoxicillin/clavulanate",18,3,17,5,40,"10 Sep 2018"
"bacteroides fragilis","clindamycin",16,5,31,14,56,"10 Sep 2018"
"bacteroides fragilis","imipenem",16,1,6,0,31,"10 Sep 2018"
"bacteroides fragilis","penicillin g",2,2,100,29,100,"10 Sep 2018"
"bacteroides fragilis","piperacillin/tazobactam",4,2,50,15,85,"10 Sep 2018"
"campylobacter coli","azithromycin",27,4,15,5,33,"10 Sep 2018"
"campylobacter coli","ciprofloxacin",28,19,68,49,82,"10 Sep 2018"
"campylobacter coli","clindamycin",1,1,100,17,100,"10 Sep 2018"
"campylobacter coli","doxycycline",4,2,50,15,85,"10 Sep 2018"
"campylobacter jejuni","azithromycin",274,5,2,1,4,"10 Sep 2018"
"campylobacter jejuni","ciprofloxacin",303,179,59,53,64,"10 Sep 2018"
"campylobacter jejuni","doxycycline",37,12,32,20,49,"10 Sep 2018"
"citrobacter koseri","amoxicillin",223,223,100,98,100,"10 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",322,9,3,1,5,"10 Sep 2018"
"citrobacter koseri","cefepime",317,2,1,0,2,"10 Sep 2018"
"citrobacter koseri","ceftazidime",316,1,0,0,2,"10 Sep 2018"
"citrobacter koseri","ceftriaxone",317,8,3,1,5,"10 Sep 2018"
"citrobacter koseri","cefuroxime",291,107,37,31,42,"10 Sep 2018"
"citrobacter koseri","ciprofloxacin",320,1,0,0,2,"10 Sep 2018"
"citrobacter koseri","cotrimoxazole",321,2,1,0,2,"10 Sep 2018"
"citrobacter koseri","fosfomycin",269,3,1,0,3,"10 Sep 2018"
"citrobacter koseri","levofloxacin",36,1,3,0,16,"10 Sep 2018"
"citrobacter koseri","nitrofurantoin",247,74,30,25,36,"10 Sep 2018"
"citrobacter koseri","norfloxacin",272,7,3,1,5,"10 Sep 2018"
"citrobacter koseri","piperacillin/tazobactam",314,19,6,4,9,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin",208,208,100,98,100,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",276,269,97,95,99,"10 Sep 2018"
"citrobacter sp. non-koseri","cefepime",274,2,1,0,3,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftazidime",275,51,19,14,24,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftriaxone",274,51,19,14,24,"10 Sep 2018"
"citrobacter sp. non-koseri","cefuroxime",239,113,47,41,54,"10 Sep 2018"
"citrobacter sp. non-koseri","ciprofloxacin",276,9,3,2,6,"10 Sep 2018"
"citrobacter sp. non-koseri","cotrimoxazole",276,17,6,4,10,"10 Sep 2018"
"citrobacter sp. non-koseri","ertapenem",268,3,1,0,3,"10 Sep 2018"
"citrobacter sp. non-koseri","fosfomycin",209,2,1,0,4,"10 Sep 2018"
"citrobacter sp. non-koseri","levofloxacin",38,2,5,1,18,"10 Sep 2018"
"citrobacter sp. non-koseri","nitrofurantoin",191,38,20,15,26,"10 Sep 2018"
"citrobacter sp. non-koseri","norfloxacin",213,14,7,4,11,"10 Sep 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",272,57,21,17,26,"10 Sep 2018"
"citrobacter sp. non-koseri","tobramycin",36,2,6,1,19,"10 Sep 2018"
"enterobacter sp.","amoxicillin",331,331,100,99,100,"10 Sep 2018"
"enterobacter sp.","amoxicillin/clavulanate",497,497,100,99,100,"10 Sep 2018"
"enterobacter sp.","cefepime",494,33,7,5,9,"10 Sep 2018"
"enterobacter sp.","ceftazidime",495,101,20,17,24,"10 Sep 2018"
"enterobacter sp.","ceftriaxone",493,101,20,17,24,"10 Sep 2018"
"enterobacter sp.","cefuroxime",403,308,76,72,80,"10 Sep 2018"
"enterobacter sp.","ciprofloxacin",496,11,2,1,4,"10 Sep 2018"
"enterobacter sp.","colistin",92,2,2,0,8,"10 Sep 2018"
"enterobacter sp.","cotrimoxazole",497,20,4,3,6,"10 Sep 2018"
"enterobacter sp.","doxycycline",5,1,20,3,64,"10 Sep 2018"
"enterobacter sp.","ertapenem",480,40,8,6,11,"10 Sep 2018"
"enterobacter sp.","fosfomycin",324,167,52,46,57,"10 Sep 2018"
"enterobacter sp.","gentamicin",401,2,0,0,2,"10 Sep 2018"
"enterobacter sp.","imipenem",492,2,0,0,2,"10 Sep 2018"
"enterobacter sp.","levofloxacin",101,3,3,1,9,"10 Sep 2018"
"enterobacter sp.","nitrofurantoin",286,171,60,54,65,"10 Sep 2018"
"enterobacter sp.","norfloxacin",324,26,8,6,12,"10 Sep 2018"
"enterobacter sp.","piperacillin/tazobactam",492,109,22,19,26,"10 Sep 2018"
"enterobacter sp.","tobramycin",92,3,3,1,10,"10 Sep 2018"
"enterococcus faecalis","azithromycin",136,136,100,97,100,"10 Sep 2018"
"enterococcus faecalis","cefuroxime",156,156,100,97,100,"10 Sep 2018"
"enterococcus faecalis","ciprofloxacin",18,2,11,2,34,"10 Sep 2018"
"enterococcus faecalis","clarithromycin",136,136,100,97,100,"10 Sep 2018"
"enterococcus faecalis","clindamycin",152,151,99,96,100,"10 Sep 2018"
"enterococcus faecalis","cotrimoxazole",194,194,100,98,100,"10 Sep 2018"
"enterococcus faecalis","ertapenem",1,1,100,17,100,"10 Sep 2018"
"enterococcus faecalis","erythromycin",154,151,98,94,100,"10 Sep 2018"
"enterococcus faecalis","gentamicin",4,3,75,29,96,"10 Sep 2018"
"enterococcus faecalis","levofloxacin",297,17,6,4,9,"10 Sep 2018"
"enterococcus faecalis","moxifloxacin",153,6,4,2,9,"10 Sep 2018"
"enterococcus faecalis","nitrofurantoin",215,1,0,0,3,"10 Sep 2018"
"enterococcus faecalis","vancomycin",314,1,0,0,2,"10 Sep 2018"
"enterococcus faecium","amoxicillin",144,93,65,56,72,"10 Sep 2018"
"enterococcus faecium","amoxicillin/clavulanate",137,88,64,56,72,"10 Sep 2018"
"enterococcus faecium","azithromycin",15,15,100,76,100,"10 Sep 2018"
"enterococcus faecium","cefuroxime",16,16,100,77,100,"10 Sep 2018"
"enterococcus faecium","ciprofloxacin",2,2,100,29,100,"10 Sep 2018"
"enterococcus faecium","clarithromycin",15,15,100,76,100,"10 Sep 2018"
"enterococcus faecium","clindamycin",16,15,94,69,100,"10 Sep 2018"
"enterococcus faecium","cotrimoxazole",107,106,99,94,100,"10 Sep 2018"
"enterococcus faecium","daptomycin",51,1,2,0,11,"10 Sep 2018"
"enterococcus faecium","ertapenem",1,1,100,17,100,"10 Sep 2018"
"enterococcus faecium","erythromycin",15,15,100,76,100,"10 Sep 2018"
"enterococcus faecium","gentamicin",2,2,100,29,100,"10 Sep 2018"
"enterococcus faecium","imipenem",268,255,95,92,97,"10 Sep 2018"
"enterococcus faecium","levofloxacin",260,178,68,63,74,"10 Sep 2018"
"enterococcus faecium","meropenem",15,12,80,54,93,"10 Sep 2018"
"enterococcus faecium","moxifloxacin",15,10,67,41,85,"10 Sep 2018"
"enterococcus faecium","nitrofurantoin",154,86,56,48,63,"10 Sep 2018"
"enterococcus faecium","penicillin g",16,13,81,56,94,"10 Sep 2018"
"enterococcus faecium","teicoplanin",258,6,2,1,5,"10 Sep 2018"
"enterococcus faecium","vancomycin",271,8,3,1,6,"10 Sep 2018"
"escherichia coli","amoxicillin",7887,3436,44,42,45,"10 Sep 2018"
"escherichia coli","amoxicillin/clavulanate",10814,1919,18,17,18,"10 Sep 2018"
"escherichia coli","aztreonam",5,5,100,51,100,"10 Sep 2018"
"escherichia coli","cefazolin",10,1,10,0,43,"10 Sep 2018"
"escherichia coli","cefepime",10716,739,7,6,7,"10 Sep 2018"
"escherichia coli","cefotaxime",68,2,3,0,11,"10 Sep 2018"
"escherichia coli","ceftazidime",10722,843,8,7,8,"10 Sep 2018"
"escherichia coli","ceftriaxone",10732,845,8,7,8,"10 Sep 2018"
"escherichia coli","cefuroxime",9697,1352,14,13,15,"10 Sep 2018"
"escherichia coli","ciprofloxacin",10809,2107,19,19,20,"10 Sep 2018"
"escherichia coli","colistin",1066,4,0,0,1,"10 Sep 2018"
"escherichia coli","cotrimoxazole",10809,2635,24,24,25,"10 Sep 2018"
"escherichia coli","doxycycline",67,18,27,18,39,"10 Sep 2018"
"escherichia coli","ertapenem",10444,14,0,0,0,"10 Sep 2018"
"escherichia coli","fosfomycin",10062,132,1,1,2,"10 Sep 2018"
"escherichia coli","gentamicin",9529,609,6,6,7,"10 Sep 2018"
"escherichia coli","imipenem",10721,2,0,0,0,"10 Sep 2018"
"escherichia coli","levofloxacin",1280,271,21,19,23,"10 Sep 2018"
"escherichia coli","meropenem",3907,1,0,0,0,"10 Sep 2018"
"escherichia coli","moxifloxacin",94,17,18,12,27,"10 Sep 2018"
"escherichia coli","nitrofurantoin",10053,71,1,1,1,"10 Sep 2018"
"escherichia coli","norfloxacin",10100,2344,23,22,24,"10 Sep 2018"
"escherichia coli","piperacillin/tazobactam",10663,952,9,8,9,"10 Sep 2018"
"escherichia coli","tobramycin",1074,101,9,8,11,"10 Sep 2018"
"haemophilus influenzae","amoxicillin",23,20,87,67,96,"10 Sep 2018"
"haemophilus influenzae","amoxicillin/clavulanate",31,3,10,3,26,"10 Sep 2018"
"haemophilus influenzae","azithromycin",1,1,100,17,100,"10 Sep 2018"
"haemophilus influenzae","ceftriaxone",30,1,3,0,18,"10 Sep 2018"
"haemophilus influenzae","cefuroxime",32,9,28,16,46,"10 Sep 2018"
"haemophilus influenzae","ciprofloxacin",29,2,7,1,23,"10 Sep 2018"
"haemophilus influenzae","clarithromycin",1,1,100,17,100,"10 Sep 2018"
"haemophilus influenzae","cotrimoxazole",28,5,18,8,36,"10 Sep 2018"
"haemophilus influenzae","erythromycin",1,1,100,17,100,"10 Sep 2018"
"haemophilus influenzae","levofloxacin",5,1,20,3,64,"10 Sep 2018"
"helicobacter pylori","amoxicillin",68,1,1,0,9,"10 Sep 2018"
"helicobacter pylori","clarithromycin",81,34,42,32,53,"10 Sep 2018"
"helicobacter pylori","levofloxacin",82,26,32,23,42,"10 Sep 2018"
"helicobacter pylori","metronidazole",81,45,56,45,66,"10 Sep 2018"
"helicobacter pylori","rifampicin",82,8,10,5,18,"10 Sep 2018"
"klebsiella oxytoca","amoxicillin",251,250,100,98,100,"10 Sep 2018"
"klebsiella oxytoca","amoxicillin/clavulanate",343,36,10,8,14,"10 Sep 2018"
"klebsiella oxytoca","cefepime",341,3,1,0,3,"10 Sep 2018"
"klebsiella oxytoca","ceftazidime",342,3,1,0,3,"10 Sep 2018"
"klebsiella oxytoca","ceftriaxone",340,17,5,3,8,"10 Sep 2018"
"klebsiella oxytoca","cefuroxime",298,37,12,9,17,"10 Sep 2018"
"klebsiella oxytoca","ciprofloxacin",343,10,3,2,5,"10 Sep 2018"
"klebsiella oxytoca","cotrimoxazole",342,9,3,1,5,"10 Sep 2018"
"klebsiella oxytoca","ertapenem",334,1,0,0,2,"10 Sep 2018"
"klebsiella oxytoca","fosfomycin",253,78,31,25,37,"10 Sep 2018"
"klebsiella oxytoca","gentamicin",293,3,1,0,3,"10 Sep 2018"
"klebsiella oxytoca","imipenem",340,1,0,0,2,"10 Sep 2018"
"klebsiella oxytoca","nitrofurantoin",228,65,29,23,35,"10 Sep 2018"
"klebsiella oxytoca","norfloxacin",255,12,5,3,8,"10 Sep 2018"
"klebsiella oxytoca","piperacillin/tazobactam",333,33,10,7,14,"10 Sep 2018"
"klebsiella pneumoniae","amoxicillin",1170,1170,100,100,100,"10 Sep 2018"
"klebsiella pneumoniae","amoxicillin/clavulanate",1681,191,11,10,13,"10 Sep 2018"
"klebsiella pneumoniae","aztreonam",4,4,100,45,100,"10 Sep 2018"
"klebsiella pneumoniae","cefepime",1669,112,7,6,8,"10 Sep 2018"
"klebsiella pneumoniae","ceftazidime",1668,131,8,7,9,"10 Sep 2018"
"klebsiella pneumoniae","ceftriaxone",1669,125,7,6,9,"10 Sep 2018"
"klebsiella pneumoniae","cefuroxime",1445,175,12,11,14,"10 Sep 2018"
"klebsiella pneumoniae","ciprofloxacin",1681,190,11,10,13,"10 Sep 2018"
"klebsiella pneumoniae","colistin",230,2,1,0,3,"10 Sep 2018"
"klebsiella pneumoniae","cotrimoxazole",1681,204,12,11,14,"10 Sep 2018"
"klebsiella pneumoniae","ertapenem",1623,17,1,1,2,"10 Sep 2018"
"klebsiella pneumoniae","fosfomycin",1433,277,19,17,21,"10 Sep 2018"
"klebsiella pneumoniae","gentamicin",1427,43,3,2,4,"10 Sep 2018"
"klebsiella pneumoniae","imipenem",1666,14,1,0,1,"10 Sep 2018"
"klebsiella pneumoniae","levofloxacin",250,36,14,11,19,"10 Sep 2018"
"klebsiella pneumoniae","meropenem",712,14,2,1,3,"10 Sep 2018"
"klebsiella pneumoniae","moxifloxacin",13,2,15,3,44,"10 Sep 2018"
"klebsiella pneumoniae","nitrofurantoin",1276,918,72,69,74,"10 Sep 2018"
"klebsiella pneumoniae","norfloxacin",1446,201,14,12,16,"10 Sep 2018"
"klebsiella pneumoniae","piperacillin/tazobactam",1653,226,14,12,15,"10 Sep 2018"
"klebsiella pneumoniae","tigecycline",6,1,17,2,58,"10 Sep 2018"
"klebsiella pneumoniae","tobramycin",232,18,8,5,12,"10 Sep 2018"
"moraxella catarrhalis","amoxicillin/clavulanate",18,1,6,0,28,"10 Sep 2018"
"moraxella catarrhalis","clarithromycin",18,1,6,0,28,"10 Sep 2018"
"moraxella catarrhalis","cotrimoxazole",18,2,11,2,34,"10 Sep 2018"
"morganella morganii","amoxicillin",121,121,100,96,100,"10 Sep 2018"
"morganella morganii","amoxicillin/clavulanate",166,166,100,97,100,"10 Sep 2018"
"morganella morganii","ceftazidime",165,13,8,5,13,"10 Sep 2018"
"morganella morganii","ceftriaxone",163,11,7,4,12,"10 Sep 2018"
"morganella morganii","cefuroxime",145,144,99,96,100,"10 Sep 2018"
"morganella morganii","ciprofloxacin",166,13,8,5,13,"10 Sep 2018"
"morganella morganii","colistin",19,19,100,80,100,"10 Sep 2018"
"morganella morganii","cotrimoxazole",165,19,12,7,17,"10 Sep 2018"
"morganella morganii","ertapenem",153,1,1,0,4,"10 Sep 2018"
