microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","amoxicillin/clavulanate",1,0,0,0,83,"24 Sep 2018"
"achromobacter sp.","cefepime",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","ceftazidime",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","ceftriaxone",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","cefuroxime",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","ciprofloxacin",12,10,83,54,96,"24 Sep 2018"
"achromobacter sp.","cotrimoxazole",12,0,0,0,29,"24 Sep 2018"
"achromobacter sp.","ertapenem",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","gentamicin",12,11,92,62,100,"24 Sep 2018"
"achromobacter sp.","imipenem",12,2,17,4,46,"24 Sep 2018"
"achromobacter sp.","levofloxacin",9,7,78,44,94,"24 Sep 2018"
"achromobacter sp.","meropenem",12,2,17,4,46,"24 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",1,0,0,0,83,"24 Sep 2018"
"achromobacter sp.","tobramycin",11,10,91,60,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin",1,1,100,17,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",3,3,100,38,100,"24 Sep 2018"
"acinetobacter sp.","aztreonam",1,0,0,0,83,"24 Sep 2018"
"acinetobacter sp.","cefepime",4,1,25,4,71,"24 Sep 2018"
"acinetobacter sp.","ceftazidime",5,1,20,3,64,"24 Sep 2018"
"acinetobacter sp.","cefuroxime",3,3,100,38,100,"24 Sep 2018"
"acinetobacter sp.","ciprofloxacin",31,0,0,0,13,"24 Sep 2018"
"acinetobacter sp.","colistin",1,0,0,0,83,"24 Sep 2018"
"acinetobacter sp.","cotrimoxazole",32,0,0,0,13,"24 Sep 2018"
"acinetobacter sp.","fosfomycin",1,1,100,17,100,"24 Sep 2018"
"acinetobacter sp.","gentamicin",32,0,0,0,13,"24 Sep 2018"
"acinetobacter sp.","imipenem",32,1,3,0,17,"24 Sep 2018"
"acinetobacter sp.","levofloxacin",28,0,0,0,15,"24 Sep 2018"
"acinetobacter sp.","meropenem",30,0,0,0,14,"24 Sep 2018"
"acinetobacter sp.","nitrofurantoin",1,1,100,17,100,"24 Sep 2018"
"acinetobacter sp.","norfloxacin",1,0,0,0,83,"24 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",5,2,40,12,77,"24 Sep 2018"
"acinetobacter sp.","tobramycin",28,0,0,0,15,"24 Sep 2018"
"actinomyces sp.","amoxicillin/clavulanate",2,0,0,0,71,"24 Sep 2018"
"actinomyces sp.","ciprofloxacin",1,1,100,17,100,"24 Sep 2018"
"actinomyces sp.","clindamycin",1,0,0,0,83,"24 Sep 2018"
"actinomyces sp.","imipenem",1,0,0,0,83,"24 Sep 2018"
"bacteroides fragilis","ceftriaxone",1,1,100,17,100,"24 Sep 2018"
"bacteroides fragilis","meropenem",1,0,0,0,83,"24 Sep 2018"
"bacteroides fragilis","metronidazole",1,0,0,0,83,"24 Sep 2018"
"bacteroides fragilis","piperacillin/tazobactam",1,0,0,0,83,"24 Sep 2018"
"campylobacter coli","azithromycin",3,0,0,0,62,"24 Sep 2018"
"campylobacter coli","ciprofloxacin",11,6,55,28,79,"24 Sep 2018"
"campylobacter coli","erythromycin",8,4,50,22,78,"24 Sep 2018"
"campylobacter jejuni","azithromycin",19,0,0,0,20,"24 Sep 2018"
"campylobacter jejuni","ciprofloxacin",88,51,58,48,68,"24 Sep 2018"
"campylobacter jejuni","doxycycline",2,0,0,0,71,"24 Sep 2018"
"campylobacter jejuni","erythromycin",69,2,3,0,11,"24 Sep 2018"
"citrobacter koseri","amoxicillin",14,14,100,74,100,"24 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",93,7,8,4,15,"24 Sep 2018"
"citrobacter koseri","cefepime",43,1,2,0,13,"24 Sep 2018"
"citrobacter koseri","cefotaxime",29,0,0,0,14,"24 Sep 2018"
"citrobacter koseri","ceftazidime",93,2,2,0,8,"24 Sep 2018"
"citrobacter koseri","ceftriaxone",62,1,2,0,10,"24 Sep 2018"
"citrobacter koseri","cefuroxime",93,16,17,11,26,"24 Sep 2018"
"citrobacter koseri","ciprofloxacin",93,2,2,0,8,"24 Sep 2018"
"citrobacter koseri","colistin",1,0,0,0,83,"24 Sep 2018"
"citrobacter koseri","cotrimoxazole",93,2,2,0,8,"24 Sep 2018"
"citrobacter koseri","doxycycline",1,0,0,0,83,"24 Sep 2018"
"citrobacter koseri","ertapenem",62,2,3,0,12,"24 Sep 2018"
"citrobacter koseri","fosfomycin",34,1,3,0,16,"24 Sep 2018"
"citrobacter koseri","gentamicin",62,0,0,0,7,"24 Sep 2018"
"citrobacter koseri","imipenem",62,1,2,0,10,"24 Sep 2018"
"citrobacter koseri","levofloxacin",32,1,3,0,17,"24 Sep 2018"
"citrobacter koseri","meropenem",51,0,0,0,9,"24 Sep 2018"
"citrobacter koseri","nitrofurantoin",34,4,12,4,27,"24 Sep 2018"
"citrobacter koseri","norfloxacin",44,1,2,0,13,"24 Sep 2018"
"citrobacter koseri","piperacillin/tazobactam",62,5,8,3,18,"24 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin",9,9,100,65,100,"24 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",89,78,88,79,93,"24 Sep 2018"
"citrobacter sp. non-koseri","cefepime",47,1,2,0,12,"24 Sep 2018"
"citrobacter sp. non-koseri","cefotaxime",9,0,0,0,35,"24 Sep 2018"
"citrobacter sp. non-koseri","ceftazidime",89,13,15,9,24,"24 Sep 2018"
"citrobacter sp. non-koseri","ceftriaxone",79,12,15,9,25,"24 Sep 2018"
"citrobacter sp. non-koseri","cefuroxime",88,20,23,15,33,"24 Sep 2018"
"citrobacter sp. non-koseri","ciprofloxacin",89,5,6,2,13,"24 Sep 2018"
"citrobacter sp. non-koseri","cotrimoxazole",89,8,9,4,17,"24 Sep 2018"
"citrobacter sp. non-koseri","ertapenem",78,1,1,0,8,"24 Sep 2018"
"citrobacter sp. non-koseri","fosfomycin",46,1,2,0,13,"24 Sep 2018"
"citrobacter sp. non-koseri","gentamicin",79,1,1,0,8,"24 Sep 2018"
"citrobacter sp. non-koseri","imipenem",79,1,1,0,8,"24 Sep 2018"
"citrobacter sp. non-koseri","levofloxacin",10,1,10,0,43,"24 Sep 2018"
"citrobacter sp. non-koseri","meropenem",72,0,0,0,6,"24 Sep 2018"
"citrobacter sp. non-koseri","nitrofurantoin",46,1,2,0,13,"24 Sep 2018"
"citrobacter sp. non-koseri","norfloxacin",19,3,16,5,39,"24 Sep 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",78,9,12,6,21,"24 Sep 2018"
"enterobacter sp.","amoxicillin",16,16,100,77,100,"24 Sep 2018"
"enterobacter sp.","amoxicillin/clavulanate",216,213,99,96,100,"24 Sep 2018"
"enterobacter sp.","cefepime",158,12,8,4,13,"24 Sep 2018"
"enterobacter sp.","cefotaxime",8,3,38,14,70,"24 Sep 2018"
"enterobacter sp.","ceftazidime",220,47,21,16,27,"24 Sep 2018"
"enterobacter sp.","ceftriaxone",213,48,23,17,29,"24 Sep 2018"
"enterobacter sp.","cefuroxime",216,110,51,44,58,"24 Sep 2018"
"enterobacter sp.","ciprofloxacin",220,19,9,6,13,"24 Sep 2018"
"enterobacter sp.","cotrimoxazole",220,8,4,2,7,"24 Sep 2018"
"enterobacter sp.","ertapenem",210,12,6,3,10,"24 Sep 2018"
"enterobacter sp.","fosfomycin",75,36,48,37,59,"24 Sep 2018"
"enterobacter sp.","gentamicin",211,1,0,0,3,"24 Sep 2018"
"enterobacter sp.","imipenem",213,0,0,0,2,"24 Sep 2018"
"enterobacter sp.","levofloxacin",7,0,0,0,41,"24 Sep 2018"
"enterobacter sp.","meropenem",197,0,0,0,2,"24 Sep 2018"
"enterobacter sp.","nitrofurantoin",75,42,56,45,67,"24 Sep 2018"
"enterobacter sp.","norfloxacin",23,4,17,7,38,"24 Sep 2018"
"enterobacter sp.","piperacillin/tazobactam",212,44,21,16,27,"24 Sep 2018"
"enterococcus faecalis","amoxicillin",4,0,0,0,55,"24 Sep 2018"
"enterococcus faecalis","amoxicillin/clavulanate",645,2,0,0,1,"24 Sep 2018"
"enterococcus faecalis","cefuroxime",1,1,100,17,100,"24 Sep 2018"
"enterococcus faecalis","ciprofloxacin",5,1,20,3,64,"24 Sep 2018"
"enterococcus faecalis","cotrimoxazole",2,2,100,29,100,"24 Sep 2018"
"enterococcus faecalis","daptomycin",1,0,0,0,83,"24 Sep 2018"
"enterococcus faecalis","ertapenem",2,2,100,29,100,"24 Sep 2018"
"enterococcus faecalis","flucloxacillin",1,1,100,17,100,"24 Sep 2018"
"enterococcus faecalis","fosfomycin",1,0,0,0,83,"24 Sep 2018"
"enterococcus faecalis","gentamicin",2,1,50,10,90,"24 Sep 2018"
"enterococcus faecalis","imipenem",645,1,0,0,1,"24 Sep 2018"
"enterococcus faecalis","levofloxacin",422,38,9,7,12,"24 Sep 2018"
"enterococcus faecalis","linezolid",644,3,0,0,1,"24 Sep 2018"
"enterococcus faecalis","nitrofurantoin",422,3,1,0,2,"24 Sep 2018"
"enterococcus faecalis","norfloxacin",1,1,100,17,100,"24 Sep 2018"
"enterococcus faecalis","piperacillin/tazobactam",2,0,0,0,71,"24 Sep 2018"
"enterococcus faecalis","teicoplanin",2,0,0,0,71,"24 Sep 2018"
"enterococcus faecalis","tobramycin",1,0,0,0,83,"24 Sep 2018"
"enterococcus faecalis","vancomycin",644,2,0,0,1,"24 Sep 2018"
"enterococcus faecium","amoxicillin",7,4,57,25,84,"24 Sep 2018"
"enterococcus faecium","amoxicillin/clavulanate",177,151,85,79,90,"24 Sep 2018"
"enterococcus faecium","ciprofloxacin",5,5,100,51,100,"24 Sep 2018"
"enterococcus faecium","cotrimoxazole",11,11,100,69,100,"24 Sep 2018"
"enterococcus faecium","daptomycin",3,0,0,0,62,"24 Sep 2018"
"enterococcus faecium","imipenem",177,154,87,81,91,"24 Sep 2018"
"enterococcus faecium","levofloxacin",94,76,81,72,88,"24 Sep 2018"
"enterococcus faecium","linezolid",176,2,1,0,4,"24 Sep 2018"
"enterococcus faecium","nitrofurantoin",94,44,47,37,57,"24 Sep 2018"
"enterococcus faecium","norfloxacin",4,4,100,45,100,"24 Sep 2018"
"enterococcus faecium","teicoplanin",13,0,0,0,27,"24 Sep 2018"
"enterococcus faecium","vancomycin",178,10,6,3,10,"24 Sep 2018"
"escherichia coli","amoxicillin",702,306,44,40,47,"24 Sep 2018"
"escherichia coli","amoxicillin/clavulanate",4186,594,14,13,15,"24 Sep 2018"
"escherichia coli","aztreonam",1,1,100,17,100,"24 Sep 2018"
"escherichia coli","cefepime",1366,115,8,7,10,"24 Sep 2018"
"escherichia coli","cefotaxime",621,6,1,0,2,"24 Sep 2018"
"escherichia coli","ceftazidime",4183,281,7,6,8,"24 Sep 2018"
"escherichia coli","ceftriaxone",3473,304,9,8,10,"24 Sep 2018"
"escherichia coli","cefuroxime",4184,440,11,10,11,"24 Sep 2018"
"escherichia coli","ciprofloxacin",4185,810,19,18,21,"24 Sep 2018"
"escherichia coli","cotrimoxazole",4186,958,23,22,24,"24 Sep 2018"
"escherichia coli","doxycycline",3,0,0,0,62,"24 Sep 2018"
"escherichia coli","ertapenem",3478,2,0,0,0,"24 Sep 2018"
"escherichia coli","fosfomycin",3570,29,1,1,1,"24 Sep 2018"
"escherichia coli","gentamicin",3470,181,5,5,6,"24 Sep 2018"
"escherichia coli","imipenem",3484,0,0,0,0,"24 Sep 2018"
"escherichia coli","levofloxacin",714,92,13,11,16,"24 Sep 2018"
"escherichia coli","meropenem",2872,0,0,0,0,"24 Sep 2018"
"escherichia coli","nitrofurantoin",3567,20,1,0,1,"24 Sep 2018"
"escherichia coli","norfloxacin",1414,272,19,17,21,"24 Sep 2018"
"escherichia coli","piperacillin/tazobactam",3477,170,5,4,6,"24 Sep 2018"
"escherichia coli","tobramycin",2,0,0,0,71,"24 Sep 2018"
"haemophilus influenzae","amoxicillin",1,1,100,17,100,"24 Sep 2018"
"haemophilus influenzae","amoxicillin/clavulanate",207,40,19,15,25,"24 Sep 2018"
"haemophilus influenzae","azithromycin",21,19,90,70,98,"24 Sep 2018"
"haemophilus influenzae","cefepime",5,2,40,12,77,"24 Sep 2018"
"haemophilus influenzae","ceftriaxone",191,2,1,0,4,"24 Sep 2018"
"haemophilus influenzae","cefuroxime",22,17,77,56,90,"24 Sep 2018"
"haemophilus influenzae","ciprofloxacin",2,1,50,10,90,"24 Sep 2018"
"haemophilus influenzae","cotrimoxazole",207,54,26,21,32,"24 Sep 2018"
"haemophilus influenzae","ertapenem",5,1,20,3,64,"24 Sep 2018"
"haemophilus influenzae","erythromycin",22,21,95,76,100,"24 Sep 2018"
"haemophilus influenzae","levofloxacin",204,4,2,1,5,"24 Sep 2018"
"haemophilus influenzae","meropenem",5,1,20,3,64,"24 Sep 2018"
"haemophilus influenzae","penicillin g",188,121,64,57,71,"24 Sep 2018"
"helicobacter pylori","amoxicillin",4,0,0,0,55,"24 Sep 2018"
"helicobacter pylori","clarithromycin",4,3,75,29,96,"24 Sep 2018"
"helicobacter pylori","levofloxacin",4,3,75,29,96,"24 Sep 2018"
"helicobacter pylori","metronidazole",4,2,50,15,85,"24 Sep 2018"
"helicobacter pylori","rifampicin",4,0,0,0,55,"24 Sep 2018"
"klebsiella oxytoca","amoxicillin",17,17,100,78,100,"24 Sep 2018"
"klebsiella oxytoca","amoxicillin/clavulanate",152,14,9,5,15,"24 Sep 2018"
"klebsiella oxytoca","cefepime",65,0,0,0,7,"24 Sep 2018"
"klebsiella oxytoca","cefotaxime",29,0,0,0,14,"24 Sep 2018"
"klebsiella oxytoca","ceftazidime",152,2,1,0,5,"24 Sep 2018"
"klebsiella oxytoca","ceftriaxone",122,8,7,3,13,"24 Sep 2018"
"klebsiella oxytoca","cefuroxime",151,14,9,6,15,"24 Sep 2018"
"klebsiella oxytoca","ciprofloxacin",152,1,1,0,4,"24 Sep 2018"
"klebsiella oxytoca","cotrimoxazole",152,2,1,0,5,"24 Sep 2018"
"klebsiella oxytoca","ertapenem",121,0,0,0,4,"24 Sep 2018"
"klebsiella oxytoca","fosfomycin",71,17,24,15,35,"24 Sep 2018"
"klebsiella oxytoca","gentamicin",122,0,0,0,4,"24 Sep 2018"
"klebsiella oxytoca","imipenem",122,0,0,0,4,"24 Sep 2018"
"klebsiella oxytoca","levofloxacin",30,0,0,0,14,"24 Sep 2018"
"klebsiella oxytoca","meropenem",107,0,0,0,4,"24 Sep 2018"
"klebsiella oxytoca","nitrofurantoin",19,0,0,0,20,"24 Sep 2018"
"klebsiella oxytoca","norfloxacin",45,0,0,0,10,"24 Sep 2018"
"klebsiella oxytoca","piperacillin/tazobactam",122,15,12,8,19,"24 Sep 2018"
"klebsiella pneumoniae","amoxicillin",59,59,100,92,100,"24 Sep 2018"
"klebsiella pneumoniae","amoxicillin/clavulanate",529,49,9,7,12,"24 Sep 2018"
"klebsiella pneumoniae","cefepime",183,16,9,5,14,"24 Sep 2018"
"klebsiella pneumoniae","cefotaxime",66,3,5,1,13,"24 Sep 2018"
"klebsiella pneumoniae","ceftazidime",529,39,7,5,10,"24 Sep 2018"
"klebsiella pneumoniae","ceftriaxone",455,31,7,5,10,"24 Sep 2018"
"klebsiella pneumoniae","cefuroxime",528,57,11,8,14,"24 Sep 2018"
"klebsiella pneumoniae","ciprofloxacin",528,71,13,11,17,"24 Sep 2018"
"klebsiella pneumoniae","colistin",1,1,100,17,100,"24 Sep 2018"
"klebsiella pneumoniae","cotrimoxazole",528,67,13,10,16,"24 Sep 2018"
"klebsiella pneumoniae","doxycycline",1,0,0,0,83,"24 Sep 2018"
"klebsiella pneumoniae","ertapenem",464,5,1,0,3,"24 Sep 2018"
"klebsiella pneumoniae","fosfomycin",336,60,18,14,22,"24 Sep 2018"
"klebsiella pneumoniae","gentamicin",454,9,2,1,4,"24 Sep 2018"
"klebsiella pneumoniae","imipenem",465,5,1,0,3,"24 Sep 2018"
"klebsiella pneumoniae","levofloxacin",76,13,17,10,27,"24 Sep 2018"
"klebsiella pneumoniae","meropenem",408,5,1,0,3,"24 Sep 2018"
"klebsiella pneumoniae","nitrofurantoin",70,29,41,31,53,"24 Sep 2018"
"klebsiella pneumoniae","norfloxacin",130,22,17,11,24,"24 Sep 2018"
"klebsiella pneumoniae","piperacillin/tazobactam",465,48,10,8,13,"24 Sep 2018"
"moraxella catarrhalis","amoxicillin/clavulanate",20,1,5,0,26,"24 Sep 2018"
"moraxella catarrhalis","ceftriaxone",20,0,0,0,19,"24 Sep 2018"
"moraxella catarrhalis","cotrimoxazole",20,5,25,11,47,"24 Sep 2018"
"moraxella catarrhalis","erythromycin",20,0,0,0,19,"24 Sep 2018"
"moraxella catarrhalis","levofloxacin",20,1,5,0,26,"24 Sep 2018"
"morganella morganii","amoxicillin",6,6,100,55,100,"24 Sep 2018"
"morganella morganii","amoxicillin/clavulanate",98,97,99,94,100,"24 Sep 2018"
"morganella morganii","cefepime",58,0,0,0,8,"24 Sep 2018"
"morganella morganii","cefotaxime",11,0,0,0,31,"24 Sep 2018"
"morganella morganii","ceftazidime",99,7,7,3,14,"24 Sep 2018"
"morganella morganii","ceftriaxone",87,5,6,2,13,"24 Sep 2018"
"morganella morganii","cefuroxime",98,88,90,82,94,"24 Sep 2018"
"morganella morganii","ciprofloxacin",99,17,17,11,26,"24 Sep 2018"
"morganella morganii","cotrimoxazole",99,23,23,16,33,"24 Sep 2018"
"morganella morganii","ertapenem",86,1,1,0,7,"24 Sep 2018"
"morganella morganii","fosfomycin",32,32,100,87,100,"24 Sep 2018"
"morganella morganii","gentamicin",86,6,7,3,15,"24 Sep 2018"
"morganella morganii","imipenem",85,15,18,11,27,"24 Sep 2018"
"morganella morganii","levofloxacin",12,0,0,0,29,"24 Sep 2018"
"morganella morganii","meropenem",84,0,0,0,5,"24 Sep 2018"
"morganella morganii","nitrofurantoin",32,32,100,87,100,"24 Sep 2018"
