microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin",4,4,100,45,100,"10 Sep 2018"
"achromobacter sp.","amoxicillin/clavulanate",6,3,50,19,81,"10 Sep 2018"
"achromobacter sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"achromobacter sp.","cefazolin",2,2,100,29,100,"10 Sep 2018"
"achromobacter sp.","cefepime",10,9,90,57,100,"10 Sep 2018"
"achromobacter sp.","ceftazidime",33,12,36,22,53,"10 Sep 2018"
"achromobacter sp.","ceftriaxone",4,3,75,29,96,"10 Sep 2018"
"achromobacter sp.","cefuroxime",5,5,100,51,100,"10 Sep 2018"
"achromobacter sp.","ciprofloxacin",10,9,90,57,100,"10 Sep 2018"
"achromobacter sp.","cotrimoxazole",29,3,10,3,27,"10 Sep 2018"
"achromobacter sp.","ertapenem",2,2,100,29,100,"10 Sep 2018"
"achromobacter sp.","gentamicin",10,8,80,48,95,"10 Sep 2018"
"achromobacter sp.","imipenem",10,3,30,11,61,"10 Sep 2018"
"achromobacter sp.","levofloxacin",26,21,81,62,92,"10 Sep 2018"
"achromobacter sp.","meropenem",29,4,14,5,31,"10 Sep 2018"
"achromobacter sp.","minocycline",22,5,23,10,44,"10 Sep 2018"
"achromobacter sp.","tobramycin",8,7,88,51,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin",24,24,100,83,100,"10 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",33,32,97,83,100,"10 Sep 2018"
"acinetobacter sp.","azithromycin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","cefazolin",7,7,100,59,100,"10 Sep 2018"
"acinetobacter sp.","cefepime",49,6,12,5,25,"10 Sep 2018"
"acinetobacter sp.","ceftazidime",49,10,20,11,34,"10 Sep 2018"
"acinetobacter sp.","ceftriaxone",8,7,88,51,100,"10 Sep 2018"
"acinetobacter sp.","cefuroxime",21,20,95,75,100,"10 Sep 2018"
"acinetobacter sp.","ciprofloxacin",158,11,7,4,12,"10 Sep 2018"
"acinetobacter sp.","cotrimoxazole",140,14,10,6,16,"10 Sep 2018"
"acinetobacter sp.","ertapenem",6,5,83,42,98,"10 Sep 2018"
"acinetobacter sp.","fosfomycin",7,6,86,46,99,"10 Sep 2018"
"acinetobacter sp.","gentamicin",154,9,6,3,11,"10 Sep 2018"
"acinetobacter sp.","imipenem",155,7,5,2,9,"10 Sep 2018"
"acinetobacter sp.","levofloxacin",149,11,7,4,13,"10 Sep 2018"
"acinetobacter sp.","meropenem",132,9,7,4,13,"10 Sep 2018"
"acinetobacter sp.","moxifloxacin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","nitrofurantoin",6,6,100,55,100,"10 Sep 2018"
"acinetobacter sp.","norfloxacin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",46,13,28,17,43,"10 Sep 2018"
"acinetobacter sp.","rifampicin",1,1,100,17,100,"10 Sep 2018"
"acinetobacter sp.","tobramycin",147,9,6,3,11,"10 Sep 2018"
"burkholderia sp.","amoxicillin/clavulanate",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","aztreonam",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","ceftazidime",3,1,33,6,80,"10 Sep 2018"
"burkholderia sp.","cefuroxime",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","ciprofloxacin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","colistin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","cotrimoxazole",3,1,33,6,80,"10 Sep 2018"
"burkholderia sp.","gentamicin",1,1,100,17,100,"10 Sep 2018"
"burkholderia sp.","levofloxacin",3,2,67,20,94,"10 Sep 2018"
"burkholderia sp.","meropenem",3,1,33,6,80,"10 Sep 2018"
"burkholderia sp.","minocycline",2,2,100,29,100,"10 Sep 2018"
"burkholderia sp.","tobramycin",1,1,100,17,100,"10 Sep 2018"
"campylobacter coli","azithromycin",23,2,9,1,28,"10 Sep 2018"
"campylobacter coli","ciprofloxacin",34,30,88,73,96,"10 Sep 2018"
"campylobacter coli","doxycycline",18,11,61,39,80,"10 Sep 2018"
"campylobacter jejuni","azithromycin",111,4,4,1,9,"10 Sep 2018"
"campylobacter jejuni","ciprofloxacin",235,129,55,49,61,"10 Sep 2018"
"campylobacter jejuni","clarithromycin",103,5,5,2,11,"10 Sep 2018"
"campylobacter jejuni","doxycycline",118,41,35,27,44,"10 Sep 2018"
"campylobacter jejuni","erythromycin",186,8,4,2,8,"10 Sep 2018"
"citrobacter koseri","amoxicillin",310,310,100,98,100,"10 Sep 2018"
"citrobacter koseri","amoxicillin/clavulanate",339,10,3,2,5,"10 Sep 2018"
"citrobacter koseri","cefepime",298,3,1,0,3,"10 Sep 2018"
"citrobacter koseri","ceftazidime",299,5,2,1,4,"10 Sep 2018"
"citrobacter koseri","ceftriaxone",339,4,1,0,3,"10 Sep 2018"
"citrobacter koseri","cefuroxime",287,79,28,23,33,"10 Sep 2018"
"citrobacter koseri","ciprofloxacin",338,6,2,1,4,"10 Sep 2018"
"citrobacter koseri","cotrimoxazole",339,6,2,1,4,"10 Sep 2018"
"citrobacter koseri","ertapenem",288,2,1,0,3,"10 Sep 2018"
"citrobacter koseri","fosfomycin",255,2,1,0,3,"10 Sep 2018"
"citrobacter koseri","gentamicin",259,6,2,1,5,"10 Sep 2018"
"citrobacter koseri","levofloxacin",228,5,2,1,5,"10 Sep 2018"
"citrobacter koseri","meropenem",172,1,1,0,4,"10 Sep 2018"
"citrobacter koseri","nitrofurantoin",222,47,21,16,27,"10 Sep 2018"
"citrobacter koseri","norfloxacin",171,5,3,1,7,"10 Sep 2018"
"citrobacter koseri","piperacillin/tazobactam",298,13,4,3,7,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin",242,242,100,98,100,"10 Sep 2018"
"citrobacter sp. non-koseri","amoxicillin/clavulanate",279,274,98,96,99,"10 Sep 2018"
"citrobacter sp. non-koseri","cefazolin",9,9,100,65,100,"10 Sep 2018"
"citrobacter sp. non-koseri","cefepime",246,4,2,1,4,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftazidime",269,60,22,18,28,"10 Sep 2018"
"citrobacter sp. non-koseri","ceftriaxone",279,58,21,16,26,"10 Sep 2018"
"citrobacter sp. non-koseri","cefuroxime",204,79,39,32,46,"10 Sep 2018"
"citrobacter sp. non-koseri","ciprofloxacin",257,16,6,4,10,"10 Sep 2018"
"citrobacter sp. non-koseri","cotrimoxazole",258,18,7,4,11,"10 Sep 2018"
"citrobacter sp. non-koseri","ertapenem",259,3,1,0,4,"10 Sep 2018"
"citrobacter sp. non-koseri","fosfomycin",178,5,3,1,7,"10 Sep 2018"
"citrobacter sp. non-koseri","gentamicin",209,4,2,1,5,"10 Sep 2018"
"citrobacter sp. non-koseri","levofloxacin",179,12,7,4,12,"10 Sep 2018"
"citrobacter sp. non-koseri","meropenem",147,1,1,0,4,"10 Sep 2018"
"citrobacter sp. non-koseri","moxifloxacin",53,2,4,0,14,"10 Sep 2018"
"citrobacter sp. non-koseri","nitrofurantoin",139,18,13,8,20,"10 Sep 2018"
"citrobacter sp. non-koseri","norfloxacin",125,11,9,5,15,"10 Sep 2018"
"citrobacter sp. non-koseri","piperacillin/tazobactam",247,37,15,11,20,"10 Sep 2018"
"enterobacter sp.","amoxicillin",647,647,100,99,100,"10 Sep 2018"
"enterobacter sp.","amoxicillin/clavulanate",684,683,100,99,100,"10 Sep 2018"
"enterobacter sp.","cefazolin",22,22,100,82,100,"10 Sep 2018"
"enterobacter sp.","cefepime",636,64,10,8,13,"10 Sep 2018"
"enterobacter sp.","ceftazidime",661,187,28,25,32,"10 Sep 2018"
"enterobacter sp.","ceftriaxone",684,184,27,24,30,"10 Sep 2018"
"enterobacter sp.","cefuroxime",550,495,90,87,92,"10 Sep 2018"
"enterobacter sp.","ciprofloxacin",668,27,4,3,6,"10 Sep 2018"
"enterobacter sp.","cotrimoxazole",666,37,6,4,8,"10 Sep 2018"
"enterobacter sp.","ertapenem",651,59,9,7,12,"10 Sep 2018"
"enterobacter sp.","fosfomycin",482,208,43,39,48,"10 Sep 2018"
"enterobacter sp.","gentamicin",583,18,3,2,5,"10 Sep 2018"
"enterobacter sp.","imipenem",645,3,0,0,1,"10 Sep 2018"
"enterobacter sp.","levofloxacin",531,20,4,2,6,"10 Sep 2018"
"enterobacter sp.","meropenem",412,1,0,0,2,"10 Sep 2018"
"enterobacter sp.","moxifloxacin",111,3,3,1,8,"10 Sep 2018"
"enterobacter sp.","nitrofurantoin",255,129,51,44,57,"10 Sep 2018"
"enterobacter sp.","norfloxacin",210,25,12,8,17,"10 Sep 2018"
"enterobacter sp.","piperacillin/tazobactam",638,161,25,22,29,"10 Sep 2018"
"enterococcus faecalis","amoxicillin/clavulanate",1344,4,0,0,1,"10 Sep 2018"
"enterococcus faecalis","azithromycin",29,29,100,86,100,"10 Sep 2018"
"enterococcus faecalis","cefazolin",165,165,100,97,100,"10 Sep 2018"
"enterococcus faecalis","ceftriaxone",165,165,100,97,100,"10 Sep 2018"
"enterococcus faecalis","cefuroxime",197,197,100,98,100,"10 Sep 2018"
"enterococcus faecalis","ciprofloxacin",354,166,47,42,52,"10 Sep 2018"
"enterococcus faecalis","clarithromycin",29,29,100,86,100,"10 Sep 2018"
